businessunit,healthtime,a1,a2,a3,a4,a5,p1,p2,p3,p4,p5
2012-02-02 08:15:00,region-1,1896,0,0,0,0,1888,8,0,0,0
2012-02-02 08:30:00,region-1,1893,3,0,0,0,1878,18,0,0,0
2012-02-02 08:45:00,region-1,1892,1,0,0,0,1869,23,1,0,0
2012-02-02 09:00:00,region-1,1892,0,0,0,0,1858,33,1,0,0
2012-02-02 09:15:00,region-1,1892,0,0,0,0,1852,39,1,0,0
2012-02-02 09:30:00,region-1,1895,0,0,0,0,1847,47,1,0,0
2012-02-02 09:45:00,region-1,1895,0,0,0,0,1840,54,1,0,0
2012-02-02 10:00:00,region-1,1896,0,0,0,0,1835,60,1,0,0
2012-02-02 10:15:00,region-1,1896,0,0,0,0,1832,63,1,0,0
2012-02-02 10:30:00,region-1,1896,0,0,0,0,1826,69,1,0,0
2012-02-02 10:45:00,region-1,1896,0,0,0,0,1821,74,1,0,0
2012-02-02 11:00:00,region-1,1896,0,0,0,0,1810,85,1,0,0
2012-02-02 11:15:00,region-1,1896,0,0,0,0,1801,94,1,0,0
2012-02-02 11:30:00,region-1,1896,0,0,0,0,1795,98,3,0,0
2012-02-02 11:45:00,region-1,1896,0,0,0,0,1789,102,5,0,0
2012-02-02 12:00:00,region-1,1896,0,0,0,0,1785,106,5,0,0
2012-02-02 12:15:00,region-1,1896,0,0,0,0,1779,112,5,0,0
2012-02-02 12:30:00,region-1,1894,2,0,0,0,1775,115,6,0,0
2012-02-02 12:45:00,region-1,1894,0,0,0,0,1767,121,6,0,0
2012-02-02 13:00:00,region-1,1892,2,0,0,0,1760,127,7,0,0
2012-02-02 13:15:00,region-1,1893,0,0,0,0,1751,134,8,0,0
2012-02-02 13:30:00,region-1,1894,0,0,0,0,1746,138,10,0,0
2012-02-02 13:45:00,region-1,1895,0,0,0,0,1735,150,10,0,0
2012-02-02 14:00:00,region-1,1896,0,0,0,0,1732,153,11,0,0
2012-02-02 14:15:00,region-1,1894,2,0,0,0,1723,162,11,0,0
2012-02-02 14:30:00,region-1,1894,0,0,0,0,1714,169,11,0,0
2012-02-02 14:45:00,region-1,1893,1,0,0,0,1702,180,12,0,0
2012-02-02 15:00:00,region-1,1883,1,4,0,5,1695,185,13,0,0
2012-02-02 15:15:00,region-1,1885,1,3,0,4,1684,194,15,0,0
2012-02-02 15:30:00,region-1,1886,2,4,0,1,1677,201,15,0,0
2012-02-02 15:45:00,region-1,1876,2,7,0,8,1672,206,15,0,0
2012-02-02 16:00:00,region-1,1871,1,11,0,9,1665,212,15,0,0
2012-02-02 16:15:00,region-1,1875,0,7,0,11,1660,216,17,0,0
2012-02-02 16:30:00,region-1,1873,0,8,0,12,1652,223,18,0,0
2012-02-02 16:45:00,region-1,1875,0,11,0,8,1649,227,17,1,0
2012-02-02 17:00:00,region-1,1874,0,12,0,10,1646,232,17,1,0
2012-02-02 17:15:00,region-1,1865,1,14,0,16,1643,235,17,1,0
2012-02-02 17:30:00,region-1,1874,0,10,0,11,1631,245,17,2,0
2012-02-02 17:45:00,region-1,1877,0,12,0,7,1623,253,18,2,0
2012-02-02 18:00:00,region-1,1876,0,8,0,12,1618,257,19,2,0
2012-02-02 18:15:00,region-1,1871,1,15,0,9,1614,261,19,2,0
2012-02-02 18:30:00,region-1,1873,0,10,0,12,1610,263,20,2,0
2012-02-02 18:45:00,region-1,1868,0,10,0,17,1603,269,21,2,0
2012-02-02 19:00:00,region-1,1872,0,17,0,6,1595,276,21,3,0
2012-02-02 19:15:00,region-1,1877,0,13,0,5,1590,277,25,3,0
2012-02-02 19:30:00,region-1,1865,2,14,0,15,1583,281,29,3,0
2012-02-02 19:45:00,region-1,1871,1,8,0,14,1572,289,30,3,0
2012-02-02 20:00:00,region-1,1871,0,15,0,7,1563,297,29,4,0
2012-02-02 20:15:00,region-1,1867,2,14,0,11,1552,308,30,4,0
2012-02-02 20:30:00,region-1,1872,1,10,0,11,1541,318,30,5,0
2012-02-02 20:45:00,region-1,1875,1,7,0,10,1538,316,34,5,0
2012-02-02 21:00:00,region-1,1868,0,13,0,12,1533,320,35,5,0
2012-02-02 21:15:00,region-1,1867,1,11,0,14,1523,329,36,5,0
2012-02-02 21:30:00,region-1,1872,1,10,0,12,1517,337,36,5,0
2012-02-02 21:45:00,region-1,1873,0,6,0,15,1507,346,36,5,0
2012-02-02 22:00:00,region-1,1873,1,9,0,12,1502,349,39,5,0
2012-02-02 22:15:00,region-1,1874,0,9,0,11,1495,352,42,5,0
2012-02-02 22:30:00,region-1,1876,1,11,0,7,1490,357,43,5,0
2012-02-02 22:45:00,region-1,1876,1,9,0,8,1485,359,45,5,0
2012-02-02 23:00:00,region-1,1868,1,16,0,10,1482,362,46,5,0
2012-02-02 23:15:00,region-1,1875,0,7,0,13,1475,368,47,5,0
2012-02-02 23:30:00,region-1,1876,1,4,0,14,1471,370,49,5,0
2012-02-02 23:45:00,region-1,1861,1,11,0,21,1468,371,49,6,0
2012-02-03 00:00:00,region-1,1873,0,4,0,16,1462,374,51,6,0
2012-02-03 00:15:00,region-1,1873,0,14,0,7,1454,381,53,6,0
2012-02-03 00:30:00,region-1,1876,0,7,0,12,1450,384,54,7,0
2012-02-03 00:45:00,region-1,1877,0,12,0,7,1444,387,58,7,0
2012-02-03 01:00:00,region-1,1872,0,12,0,12,1437,394,58,7,0
2012-02-03 01:15:00,region-1,1876,0,8,0,12,1434,395,60,7,0
2012-02-03 01:30:00,region-1,1870,1,15,0,10,1427,401,61,7,0
2012-02-03 01:45:00,region-1,1871,0,12,0,12,1420,408,60,7,0
2012-02-03 02:00:00,region-1,1886,0,4,0,5,1413,414,61,7,0
2012-02-03 02:15:00,region-1,1880,0,13,0,2,1412,414,62,7,0
2012-02-03 02:30:00,region-1,1886,0,5,0,4,1404,417,65,9,0
2012-02-03 02:45:00,region-1,1883,0,9,0,4,1400,421,66,9,0
2012-02-03 03:00:00,region-1,1896,0,0,0,0,1398,423,66,9,0
2012-02-03 03:15:00,region-1,1895,1,0,0,0,1393,427,67,9,0
2012-02-03 03:30:00,region-1,1894,1,0,0,0,1393,425,68,9,0
2012-02-03 03:45:00,region-1,1894,0,0,0,0,1384,430,70,10,0
2012-02-03 04:00:00,region-1,1895,0,0,0,0,1382,429,73,11,0
2012-02-03 04:15:00,region-1,1894,1,0,0,0,1378,431,75,11,0
2012-02-03 04:30:00,region-1,1892,3,0,0,0,1371,437,76,11,0
2012-02-03 04:45:00,region-1,1893,0,0,0,0,1362,443,77,11,0
2012-02-03 05:00:00,region-1,1893,1,0,0,0,1359,446,78,11,0
2012-02-03 05:15:00,region-1,1894,0,0,0,0,1355,448,80,11,0
2012-02-03 05:30:00,region-1,1895,0,0,0,0,1346,457,81,11,0
2012-02-03 05:45:00,region-1,1895,1,0,0,0,1343,455,87,11,0
2012-02-03 06:00:00,region-1,1895,0,0,0,0,1337,460,86,12,0
2012-02-03 06:15:00,region-1,1894,1,0,0,0,1332,459,92,12,0
2012-02-03 06:30:00,region-1,1895,0,0,0,0,1327,463,92,13,0
2012-02-03 06:45:00,region-1,1895,0,0,0,0,1320,470,92,13,0
