time	region	pol1	pol2	pol3	pol4	pol5	act1	act2	act3	act4	act5	expected	reported	order	size	erspreadmax	erspreadmin	sizepol
2012-02-02 08:15:00	headquarters-1	204153	829	0	0	0	204822	160	0	0	0	0	8975	41	250000	8975	0	204982
2012-02-02 08:30:00	headquarters-1	203201	1620	1	0	0	204658	164	0	0	0	0	8955	41	250000	8955	0	204822
2012-02-02 08:45:00	headquarters-1	202289	2398	7	0	0	204509	185	0	0	0	0	8947	41	250000	8947	0	204694
2012-02-02 09:00:00	headquarters-1	201402	3174	19	0	0	204409	186	0	0	0	0	8943	41	250000	8943	0	204595
2012-02-02 09:15:00	headquarters-1	200555	3951	32	0	0	204389	149	0	0	0	0	8944	41	250000	8944	0	204538
2012-02-02 09:30:00	headquarters-1	199774	4730	49	2	0	204383	172	0	0	0	0	8943	41	250000	8943	0	204555
2012-02-02 09:45:00	headquarters-1	198966	5518	69	2	0	204389	166	0	0	0	0	8940	41	250000	8940	0	204555
2012-02-02 10:00:00	headquarters-1	198151	6311	89	2	0	204383	170	0	0	0	0	8940	41	250000	8940	0	204553
2012-02-02 10:15:00	headquarters-1	197330	7104	115	2	0	204383	168	0	0	0	0	8939	41	250000	8939	0	204551
2012-02-02 10:30:00	headquarters-1	196563	7842	145	4	0	204407	147	0	0	0	0	8942	41	250000	8942	0	204554
2012-02-02 10:45:00	headquarters-1	196048	8611	171	4	0	204634	200	0	0	0	0	8941	41	250000	8941	0	204834
2012-02-02 11:00:00	headquarters-1	201034	9621	208	4	0	208372	170	1435	371	519	15000	15006	41	250000	6	0	210867
2012-02-02 11:15:00	headquarters-1	200231	10398	232	6	0	208445	196	1400	314	512	15000	15005	41	250000	5	0	210867
2012-02-02 11:30:00	headquarters-1	199354	11207	262	7	0	208411	185	1415	324	495	15000	15006	41	250000	6	0	210830
2012-02-02 11:45:00	headquarters-1	198366	11893	316	7	0	208145	162	1404	331	540	15000	15007	41	250000	7	0	210582
2012-02-02 12:00:00	headquarters-1	197576	12691	364	9	0	208131	202	1400	396	511	15000	15012	41	250000	12	0	210640
2012-02-02 12:15:00	headquarters-1	196790	13402	417	10	0	208146	189	1399	387	498	15000	15005	41	250000	5	0	210619
2012-02-02 12:30:00	headquarters-1	195998	14146	463	11	0	208242	212	1314	336	514	15000	15008	41	250000	8	0	210618
2012-02-02 12:45:00	headquarters-1	197178	14966	523	12	1	210224	175	1398	362	521	15000	14987	41	250000	0	13	212680
2012-02-02 13:00:00	headquarters-1	196441	15666	572	12	1	208486	179	2520	691	816	15000	14989	41	250000	0	11	212692
2012-02-02 13:15:00	headquarters-1	195669	16394	635	15	1	208560	145	2541	641	827	15000	14994	41	250000	0	6	212714
2012-02-02 13:30:00	headquarters-1	194930	17092	690	20	1	208522	178	2571	649	813	15000	15006	41	250000	6	0	212733
