time,region,pol1,pol2,pol3,pol4,pol5,act1,act2,act3,act4,act5,expected,reported,order,size,erspreadmax,erspreadmin,sizepol
2012-02-01 23:15:00,headquarters-1,48470,186,0,0,0,48621,35,0,0,0,0,1,41,250000,1,0,48656
2012-02-01 23:30:00,headquarters-1,48254,367,0,0,0,48580,41,0,0,0,0,1,41,250000,1,0,48621
2012-02-01 23:45:00,headquarters-1,48039,546,3,0,0,48549,39,0,0,0,0,1,41,250000,1,0,48588
2012-02-02 00:00:00,headquarters-1,47837,729,6,0,0,48525,47,0,0,0,0,1,41,250000,1,0,48572
2012-02-02 00:15:00,headquarters-1,96381,1116,8,0,0,97422,83,0,0,0,0,3,41,250000,3,0,97505
2012-02-02 00:30:00,headquarters-1,95947,1497,11,1,0,97378,78,0,0,0,0,3,41,250000,3,0,97456
2012-02-02 00:45:00,headquarters-1,95565,1843,18,1,0,97335,92,0,0,0,0,3,41,250000,3,0,97427
2012-02-02 01:00:00,headquarters-1,95153,2215,26,1,0,97308,87,0,0,0,0,3,41,250000,3,0,97395
2012-02-02 01:15:00,headquarters-1,94749,2600,32,1,0,97322,60,0,0,0,0,3,41,250000,3,0,97382
2012-02-02 01:30:00,headquarters-1,94419,2943,49,2,0,97333,80,0,0,0,0,3,41,250000,3,0,97413
2012-02-02 01:45:00,headquarters-1,94051,3311,62,2,0,97334,92,0,0,0,0,3,41,250000,3,0,97426
2012-02-02 02:00:00,headquarters-1,93621,3700,76,2,0,97314,85,0,0,0,0,3,41,250000,3,0,97399
2012-02-02 02:15:00,headquarters-1,142597,4216,92,2,0,146794,113,0,0,0,0,9,41,250000,9,0,146907
2012-02-02 02:30:00,headquarters-1,141990,4766,108,2,0,146756,110,0,0,0,0,9,41,250000,9,0,146866
2012-02-02 02:45:00,headquarters-1,141412,5303,125,2,0,146712,130,0,0,0,0,9,41,250000,9,0,146842
2012-02-02 03:00:00,headquarters-1,140795,5892,142,3,0,146724,108,0,0,0,0,9,41,250000,9,0,146832
2012-02-02 03:15:00,headquarters-1,140265,6406,163,4,0,146729,109,0,0,0,0,9,41,250000,9,0,146838
2012-02-02 03:30:00,headquarters-1,139720,6943,184,5,0,146736,116,0,0,0,0,9,41,250000,9,0,146852
