time,regionold,pol1,pol2,pol3,pol4,pol5,act1,act2,act3,act4,act5,expected,reported,order,size,erspreadmax,erspreadmin,sizepol,sumnumconnections,avnumconn,lat,lon,region
2012-02-02 08:15:00,headquarters-1,204153,829,0,0,0,204822,160,0,0,0,0,8975,41,250000,8975,0,204982,5047272,24.623001044,-8.61044955,-75,HEAD
2012-02-02 08:30:00,headquarters-1,203201,1620,1,0,0,204658,164,0,0,0,0,8955,41,250000,8955,0,204822,5051882,24.6647430452,-8.61044955,-75,HEAD
2012-02-02 08:45:00,headquarters-1,202289,2398,7,0,0,204509,185,0,0,0,0,8947,41,250000,8947,0,204694,5040559,24.6248497758,-8.61044955,-75,HEAD
2012-02-02 09:00:00,headquarters-1,201402,3174,19,0,0,204409,186,0,0,0,0,8943,41,250000,8943,0,204595,5043111,24.6492387399,-8.61044955,-75,HEAD
2012-02-02 09:15:00,headquarters-1,200555,3951,32,0,0,204389,149,0,0,0,0,8944,41,250000,8944,0,204538,5032401,24.6037460032,-8.61044955,-75,HEAD
2012-02-02 09:30:00,headquarters-1,199774,4730,49,2,0,204383,172,0,0,0,0,8943,41,250000,8943,0,204555,5034562,24.6122656498,-8.61044955,-75,HEAD
2012-02-02 09:45:00,headquarters-1,198966,5518,69,2,0,204389,166,0,0,0,0,8940,41,250000,8940,0,204555,5033766,24.6083742759,-8.61044955,-75,HEAD
2012-02-02 10:00:00,headquarters-1,198151,6311,89,2,0,204383,170,0,0,0,0,8940,41,250000,8940,0,204553,5041014,24.6440482418,-8.61044955,-75,HEAD
2012-02-02 10:15:00,headquarters-1,197330,7104,115,2,0,204383,168,0,0,0,0,8939,41,250000,8939,0,204551,5050675,24.6915194744,-8.61044955,-75,HEAD
2012-02-02 10:30:00,headquarters-1,196563,7842,145,4,0,204407,147,0,0,0,0,8942,41,250000,8942,0,204554,5032224,24.6009562267,-8.61044955,-75,HEAD
2012-02-02 10:45:00,headquarters-1,196048,8611,171,4,0,204634,200,0,0,0,0,8941,41,250000,8941,0,204834,5035025,24.5810021774,-8.61044955,-75,HEAD
2012-02-02 11:00:00,headquarters-1,201034,9621,208,4,0,208372,170,1435,371,519,15050,15006,41,250000,0,44,210867,6732397,31.927219527,-8.61044955,-75,HEAD
2012-02-02 11:15:00,headquarters-1,200231,10398,232,6,0,208445,196,1400,314,512,15050,15005,41,250000,0,45,210867,6726907,31.9011841587,-8.61044955,-75,HEAD
2012-02-02 11:30:00,headquarters-1,199354,11207,262,7,0,208411,185,1415,324,495,15050,15006,41,250000,0,44,210830,6706649,31.8106958213,-8.61044955,-75,HEAD
2012-02-02 11:45:00,headquarters-1,198366,11893,316,7,0,208145,162,1404,331,540,15050,15007,41,250000,0,43,210582,6726627,31.9430293187,-8.61044955,-75,HEAD
