time,regionold,pol1,pol2,pol3,pol4,pol5,act1,act2,act3,act4,act5,expected,reported,order,size,nightmachinediff,daymachinediff,sizepol,sumnumconnections,avnumconn,region
2012-02-01 23:15:00,headquarters,48470,186,0,0,0,48621,35,0,0,0,0,1,41,250000,1,0,48656,1239242,25.4694590595,HEAD
2012-02-01 23:30:00,headquarters,48254,367,0,0,0,48580,41,0,0,0,0,1,41,250000,1,0,48621,1239810,25.4994755353,HEAD
2012-02-01 23:45:00,headquarters,48039,546,3,0,0,48549,39,0,0,0,0,1,41,250000,1,0,48588,1239393,25.5082119042,HEAD
2012-02-02 00:00:00,headquarters,47837,729,6,0,0,48525,47,0,0,0,0,1,41,250000,1,0,48572,1243250,25.5960223997,HEAD
2012-02-02 00:15:00,headquarters,96381,1116,8,0,0,97422,83,0,0,0,0,3,41,250000,3,0,97505,2485483,25.4908261115,HEAD
2012-02-02 00:30:00,headquarters,95947,1497,11,1,0,97378,78,0,0,0,0,3,41,250000,3,0,97456,2493564,25.5865621409,HEAD
2012-02-02 00:45:00,headquarters,95565,1843,18,1,0,97335,92,0,0,0,0,3,41,250000,3,0,97427,2482429,25.4798875055,HEAD
2012-02-02 01:00:00,headquarters,95153,2215,26,1,0,97308,87,0,0,0,0,3,41,250000,3,0,97395,2480928,25.4728476821,HEAD
2012-02-02 01:15:00,headquarters,94749,2600,32,1,0,97322,60,0,0,0,0,3,41,250000,3,0,97382,2482057,25.4878416956,HEAD
2012-02-02 01:30:00,headquarters,94419,2943,49,2,0,97333,80,0,0,0,0,3,41,250000,3,0,97413,2483792,25.4975413959,HEAD
2012-02-02 01:45:00,headquarters,94051,3311,62,2,0,97334,92,0,0,0,0,3,41,250000,3,0,97426,2488928,25.5468560754,HEAD
2012-02-02 02:00:00,headquarters,93621,3700,76,2,0,97314,85,0,0,0,0,3,41,250000,3,0,97399,2484540,25.5088861282,HEAD
2012-02-02 02:15:00,headquarters,142597,4216,92,2,0,146794,113,0,0,0,0,9,41,250000,9,0,146907,3743994,25.4854703996,HEAD
2012-02-02 02:30:00,headquarters,141990,4766,108,2,0,146756,110,0,0,0,0,9,41,250000,9,0,146866,3735561,25.4351653889,HEAD
2012-02-02 02:45:00,headquarters,141412,5303,125,2,0,146712,130,0,0,0,0,9,41,250000,9,0,146842,3744131,25.4976845862,HEAD
2012-02-02 03:00:00,headquarters,140795,5892,142,3,0,146724,108,0,0,0,0,9,41,250000,9,0,146832,3749184,25.5338345865,HEAD
2012-02-02 03:15:00,headquarters,140265,6406,163,4,0,146729,109,0,0,0,0,9,41,250000,9,0,146838,3745155,25.5053528378,HEAD
2012-02-02 03:30:00,headquarters,139720,6943,184,5,0,146736,116,0,0,0,0,9,41,250000,9,0,146852,3748142,25.523261515,HEAD
2012-02-02 03:45:00,headquarters,139180,7437,218,4,1,146742,98,0,0,0,0,9,41,250000,9,0,146840,3750754,25.5431353855,HEAD
2012-02-02 04:00:00,headquarters,138651,7941,244,4,1,146725,116,0,0,0,0,9,41,250000,9,0,146841,3739001,25.4629224808,HEAD
2012-02-02 04:15:00,headquarters,195686,8735,274,5,1,204548,153,0,0,0,0,8975,41,250000,8975,0,204701,5050608,24.6730988124,HEAD
2012-02-02 04:30:00,headquarters,194848,9499,301,6,1,204497,158,0,0,0,0,8955,41,250000,8955,0,204655,5051516,24.6830812831,HEAD
2012-02-02 04:45:00,headquarters,194310,10223,328,7,1,204702,167,0,0,0,0,8947,41,250000,8947,0,204869,5037934,24.591002055,HEAD
2012-02-02 05:00:00,headquarters,193493,10949,370,7,1,204640,180,0,0,0,0,8943,41,250000,8943,0,204820,5044872,24.630758715,HEAD
2012-02-02 05:15:00,headquarters,192691,11692,407,8,1,204621,178,0,0,0,0,8944,41,250000,8944,0,204799,5049355,24.6551740975,HEAD
2012-02-02 05:30:00,headquarters,191841,12471,449,11,1,204611,162,0,0,0,0,8942,41,250000,8942,0,204773,5043234,24.6284129255,HEAD
2012-02-02 05:45:00,headquarters,190856,13193,499,11,1,204413,147,0,0,0,0,8939,41,250000,8939,0,204560,5033128,24.6046538913,HEAD
2012-02-02 06:00:00,headquarters,190169,13873,547,12,1,204430,172,0,0,0,0,8939,41,250000,8939,0,204602,5041940,24.6426721146,HEAD
2012-02-02 06:15:00,headquarters,189382,14577,604,12,1,204391,185,0,0,0,0,8938,41,250000,8938,0,204576,5032499,24.599654896,HEAD
2012-02-02 06:30:00,headquarters,188628,15262,649,13,1,204401,152,0,0,0,0,8942,41,250000,8942,0,204553,5039629,24.6372773804,HEAD
2012-02-02 06:45:00,headquarters,189822,16121,711,15,1,206498,172,0,0,0,0,8941,41,250000,8941,0,206670,5085285,24.6058208739,HEAD
2012-02-02 07:00:00,headquarters,194845,17098,773,17,1,205119,161,4806,1288,1360,15050,15014,41,250000,0,36,212734,10788933,50.7156025835,HEAD
2012-02-02 07:15:00,headquarters,194073,17807,843,20,1,205379,171,4709,1152,1333,15050,15013,41,250000,0,37,212744,10781624,50.6788628586,HEAD
2012-02-02 07:30:00,headquarters,193286,18499,904,25,1,205355,185,4739,1135,1301,15050,15014,41,250000,0,36,212715,10773421,50.6472087065,HEAD
2012-02-02 07:45:00,headquarters,192537,19192,966,27,1,205212,167,4733,1211,1400,15050,15015,41,250000,0,35,212723,10805712,50.797102335,HEAD
2012-02-02 08:00:00,headquarters,191785,19878,1052,29,1,205308,206,4634,1243,1354,15050,15020,41,250000,0,30,212745,10797837,50.7548332511,HEAD
2012-02-02 08:15:00,headquarters,190983,20569,1121,33,1,205173,175,4720,1268,1371,15050,15013,41,250000,0,37,212707,10789713,50.7257071935,HEAD
2012-02-02 08:30:00,headquarters,190218,21258,1191,40,1,205359,206,4619,1172,1352,15050,15016,41,250000,0,34,212708,10803929,50.7923021231,HEAD
2012-02-02 08:45:00,headquarters,196911,22795,1320,46,1,213289,195,4866,1241,1482,15050,14995,41,250000,0,55,221073,11216809,50.7380322337,HEAD
2012-02-02 09:00:00,headquarters,196128,23498,1401,51,1,213211,190,4949,1318,1411,15050,14994,41,250000,0,56,221079,11219087,50.7469592318,HEAD
2012-02-02 09:15:00,headquarters,195300,24240,1479,64,1,213352,174,4855,1273,1430,15050,14999,41,250000,0,51,221084,11231354,50.8012972445,HEAD
2012-02-02 09:30:00,headquarters,194574,24890,1566,69,1,213380,173,4921,1206,1420,15050,15011,41,250000,0,39,221100,11239115,50.8327227499,HEAD
2012-02-02 09:45:00,headquarters,193782,25611,1662,74,1,213341,194,4934,1267,1394,15050,15018,41,250000,0,32,221130,11215613,50.719545064,HEAD
2012-02-02 10:00:00,headquarters,192966,26305,1754,78,2,213457,156,4839,1227,1426,15050,15009,41,250000,0,41,221105,11235475,50.8151104679,HEAD
2012-02-02 10:15:00,headquarters,192218,26999,1836,82,3,213461,178,4885,1245,1369,15050,15016,41,250000,0,34,221138,11231926,50.7914786242,HEAD
2012-02-02 10:30:00,headquarters,191449,27677,1930,88,3,213332,161,4966,1287,1401,15050,15011,41,250000,0,39,221147,11241163,50.8311801652,HEAD
2012-02-02 10:45:00,headquarters,190726,28301,2026,96,3,213370,205,4832,1307,1438,15050,15020,41,250000,0,30,221152,11250300,50.8713464043,HEAD
2012-02-02 11:00:00,headquarters,189908,28972,2136,102,4,213397,196,4890,1184,1455,15050,15021,41,250000,0,29,221122,11230512,50.7887591465,HEAD
2012-02-02 11:15:00,headquarters,189109,29621,2252,109,4,213405,191,4837,1226,1436,15050,15022,41,250000,0,28,221095,11223218,50.7619710984,HEAD
2012-02-02 11:30:00,headquarters,188307,30335,2336,117,6,213376,177,4959,1247,1342,15050,15021,41,250000,0,29,221101,11252578,50.8933835668,HEAD
2012-02-02 11:45:00,headquarters,187559,30971,2437,129,6,213365,191,4795,1319,1432,15050,15017,41,250000,0,33,221102,11234864,50.8130365171,HEAD
2012-02-02 12:00:00,headquarters,186834,31528,2585,135,6,213380,173,4927,1251,1357,15050,15017,41,250000,0,33,221088,11228371,50.7868857649,HEAD
2012-02-02 12:15:00,headquarters,213131,36460,3056,158,9,243968,194,5595,1437,1620,15050,15022,41,250000,0,28,252814,12889735,50.9850522519,HEAD
2012-02-02 12:30:00,headquarters,212302,37149,3205,173,9,244022,198,5559,1419,1640,15050,15026,41,250000,0,24,252838,12900582,51.0231136143,HEAD
2012-02-02 12:45:00,headquarters,211483,37845,3319,190,9,243925,200,5629,1535,1557,15050,15023,41,250000,0,27,252846,12890877,50.9831162051,HEAD
2012-02-02 13:00:00,headquarters,210640,38529,3453,204,9,243892,234,5584,1567,1558,15050,15021,41,250000,0,29,252835,12907482,51.0510095517,HEAD
2012-02-02 13:15:00,headquarters,217270,40635,3719,220,11,252618,205,5858,1482,1692,15050,15016,41,250000,0,34,261855,13367030,51.0474499246,HEAD
2012-02-02 13:30:00,headquarters,216448,41310,3863,240,12,252846,193,5741,1482,1611,15050,15016,41,250000,0,34,261873,13388694,51.1266682705,HEAD
2012-02-02 13:45:00,headquarters,215634,41979,3998,256,13,252753,195,5764,1528,1640,15050,15017,41,250000,0,33,261880,13365944,51.0384298152,HEAD
2012-02-02 14:00:00,headquarters,214787,42711,4126,272,15,252769,218,5824,1455,1645,15050,15020,41,250000,0,30,261911,13365535,51.0308272658,HEAD
2012-02-02 14:15:00,headquarters,213862,43439,4276,291,15,252757,209,5813,1473,1631,15050,15015,41,250000,0,35,261883,13362097,51.0231553785,HEAD
2012-02-02 14:30:00,headquarters,212972,44124,4451,306,16,252885,222,5715,1487,1560,15050,15018,41,250000,0,32,261869,13381848,51.1013063784,HEAD
2012-02-02 14:45:00,headquarters,212148,44745,4625,325,19,252778,220,5809,1472,1583,15050,15015,41,250000,0,35,261862,13382230,51.1041311836,HEAD
2012-02-02 15:00:00,headquarters,211277,45423,4785,339,21,252631,253,5733,1508,1720,15050,15007,41,250000,0,43,261845,13347417,50.9744963624,HEAD
2012-02-02 15:15:00,headquarters,210403,46083,4948,366,21,252465,231,5898,1518,1709,15050,15010,41,250000,0,40,261821,13383913,51.1185619183,HEAD
