businessunit,healthtime,a1,a2,a3,a4,a5,p1,p2,p3,p4,p5
region-44,2012-02-02 08:15:00,4300,6,0,0,0,4289,17,0,0,0
region-44,2012-02-02 08:30:00,4293,7,0,0,0,4270,29,1,0,0
region-44,2012-02-02 08:45:00,4290,3,0,0,0,4241,51,1,0,0
region-44,2012-02-02 09:00:00,4293,1,0,0,0,4221,72,1,0,0
region-44,2012-02-02 09:15:00,4294,4,0,0,0,4211,85,2,0,0
region-44,2012-02-02 09:30:00,4292,7,0,0,0,4188,109,2,0,0
region-44,2012-02-02 09:45:00,4291,5,0,0,0,4170,124,2,0,0
region-44,2012-02-02 10:00:00,4287,6,0,0,0,4151,140,2,0,0
region-44,2012-02-02 10:15:00,4282,11,0,0,0,4132,159,2,0,0
region-44,2012-02-02 10:30:00,4283,4,0,0,0,4110,175,2,0,0
region-44,2012-02-02 10:45:00,4286,5,0,0,0,4093,196,2,0,0
region-44,2012-02-02 11:00:00,4282,7,0,0,0,4078,209,2,0,0
region-44,2012-02-02 11:15:00,4288,4,0,0,0,4066,222,4,0,0
region-44,2012-02-02 11:30:00,4288,4,0,0,0,4048,240,4,0,0
region-44,2012-02-02 11:45:00,4289,5,0,0,0,4028,262,4,0,0
region-44,2012-02-02 12:00:00,4285,9,0,0,0,4021,266,7,0,0
region-44,2012-02-02 12:15:00,4282,6,0,0,0,4001,280,7,0,0
region-44,2012-02-02 12:30:00,4283,5,0,0,0,3993,287,8,0,0
region-44,2012-02-02 12:45:00,4284,4,0,0,0,3979,300,9,0,0
region-44,2012-02-02 13:00:00,4291,2,0,0,0,3965,319,9,0,0
region-44,2012-02-02 13:15:00,4294,2,0,0,0,3950,337,9,0,0
region-44,2012-02-02 13:30:00,4292,7,0,0,0,3940,348,11,0,0
region-44,2012-02-02 13:45:00,4291,4,0,0,0,3924,360,11,0,0
region-44,2012-02-02 14:00:00,5196,6,107,17,66,4917,462,13,0,0
region-44,2012-02-02 14:15:00,5174,6,112,27,69,4885,490,13,0,0
region-44,2012-02-02 14:30:00,5198,9,98,19,65,4866,510,13,0,0
