healthtime,businessunit,policystatus,numipaddr
2012-02-02 08:15:00,headquarters,1,204153
2012-02-02 08:30:00,headquarters,1,203201
2012-02-02 08:45:00,headquarters,1,202289
2012-02-02 09:00:00,headquarters,1,201402
2012-02-02 09:15:00,headquarters,1,200555
2012-02-02 09:30:00,headquarters,1,199774
2012-02-02 09:45:00,headquarters,1,198966
2012-02-02 10:00:00,headquarters,1,198151
2012-02-02 10:15:00,headquarters,1,197330
2012-02-02 10:30:00,headquarters,1,196563
2012-02-02 10:45:00,headquarters,1,196048
2012-02-02 11:00:00,headquarters,1,201034
2012-02-02 11:15:00,headquarters,1,200231
2012-02-02 11:30:00,headquarters,1,199354
2012-02-02 11:45:00,headquarters,1,198366
2012-02-02 12:00:00,headquarters,1,197576
2012-02-02 12:15:00,headquarters,1,196790
2012-02-02 12:30:00,headquarters,1,195998
2012-02-02 12:45:00,headquarters,1,197178
2012-02-02 13:00:00,headquarters,1,196441
2012-02-02 13:15:00,headquarters,1,195669
2012-02-02 13:30:00,headquarters,1,194930
2012-02-02 13:45:00,headquarters,1,194153
2012-02-02 14:00:00,headquarters,1,193353
2012-02-02 14:15:00,headquarters,1,192610
2012-02-02 14:30:00,headquarters,1,191813
2012-02-02 14:45:00,headquarters,1,198534
2012-02-02 15:00:00,headquarters,1,197717
2012-02-02 15:15:00,headquarters,1,196867
2012-02-02 15:30:00,headquarters,1,196046
2012-02-02 15:45:00,headquarters,1,195270
2012-02-02 16:00:00,headquarters,1,194510
2012-02-02 16:15:00,headquarters,1,193772
2012-02-02 16:30:00,headquarters,1,193068
2012-02-02 16:45:00,headquarters,1,192343
2012-02-02 17:00:00,headquarters,1,191559
2012-02-02 17:15:00,headquarters,1,190724
2012-02-02 17:30:00,headquarters,1,189937
2012-02-02 17:45:00,headquarters,1,189187
2012-02-02 18:00:00,headquarters,1,188399
2012-02-02 18:15:00,headquarters,1,214605
2012-02-02 18:30:00,headquarters,1,213764
2012-02-02 18:45:00,headquarters,1,212958
2012-02-02 19:00:00,headquarters,1,212100
2012-02-02 19:15:00,headquarters,1,218774
2012-02-02 19:30:00,headquarters,1,217867
2012-02-02 19:45:00,headquarters,1,217045
2012-02-02 20:00:00,headquarters,1,216201
2012-02-02 20:15:00,headquarters,1,215298
2012-02-02 20:30:00,headquarters,1,214398
2012-02-02 20:45:00,headquarters,1,213556
2012-02-02 21:00:00,headquarters,1,212725
2012-02-02 21:15:00,headquarters,1,211913
2012-02-02 21:30:00,headquarters,1,211105
2012-02-02 21:45:00,headquarters,1,210259
2012-02-02 22:00:00,headquarters,1,204609
2012-02-02 22:15:00,headquarters,1,203766
2012-02-02 22:30:00,headquarters,1,202973
2012-02-02 22:45:00,headquarters,1,202179
2012-02-02 23:00:00,headquarters,1,201310
2012-02-02 23:15:00,headquarters,1,200429
2012-02-02 23:30:00,headquarters,1,199579
2012-02-02 23:45:00,headquarters,1,198797
2012-02-03 00:00:00,headquarters,1,198051
2012-02-03 00:15:00,headquarters,1,197227
2012-02-03 00:30:00,headquarters,1,196432
2012-02-03 00:45:00,headquarters,1,195689
2012-02-03 01:00:00,headquarters,1,194846
2012-02-03 01:15:00,headquarters,1,194094
2012-02-03 01:30:00,headquarters,1,193285
2012-02-03 01:45:00,headquarters,1,192538
2012-02-03 02:00:00,headquarters,1,191764
2012-02-03 02:15:00,headquarters,1,190977
2012-02-03 02:30:00,headquarters,1,190163
2012-02-03 02:45:00,headquarters,1,189400
2012-02-03 03:00:00,headquarters,1,188712
2012-02-03 03:15:00,headquarters,1,188004
2012-02-03 03:30:00,headquarters,1,187225
2012-02-03 03:45:00,headquarters,1,186520
2012-02-03 04:00:00,headquarters,1,185729
2012-02-03 04:15:00,headquarters,1,185022
2012-02-03 04:30:00,headquarters,1,184287
2012-02-03 04:45:00,headquarters,1,183593
2012-02-03 05:00:00,headquarters,1,182854
2012-02-03 05:15:00,headquarters,1,182168
2012-02-03 05:30:00,headquarters,1,181481
2012-02-03 05:45:00,headquarters,1,180741
2012-02-03 06:00:00,headquarters,1,180032
2012-02-03 06:15:00,headquarters,1,179279
2012-02-03 06:30:00,headquarters,1,178594
2012-02-03 06:45:00,headquarters,1,177880
2012-02-03 07:00:00,headquarters,1,177181
2012-02-03 07:15:00,headquarters,1,176476
2012-02-03 07:30:00,headquarters,1,175708
2012-02-03 07:45:00,headquarters,1,174971
2012-02-03 08:00:00,headquarters,1,174316
2012-02-03 08:15:00,headquarters,1,173616
2012-02-03 08:30:00,headquarters,1,172903
2012-02-03 08:45:00,headquarters,1,172228
2012-02-03 09:00:00,headquarters,1,171495
2012-02-03 09:15:00,headquarters,1,170856
2012-02-03 09:30:00,headquarters,1,170191
2012-02-03 09:45:00,headquarters,1,169559
2012-02-03 10:00:00,headquarters,1,168914
2012-02-03 10:15:00,headquarters,1,168275
2012-02-03 10:30:00,headquarters,1,167629
2012-02-03 10:45:00,headquarters,1,166978
