healthtime,businessunit,policystatus,ipaddrcount
2012-02-02 08:15:00,headquarters,2,829
2012-02-02 08:30:00,headquarters,2,1620
2012-02-02 08:45:00,headquarters,2,2398
2012-02-02 09:00:00,headquarters,2,3174
2012-02-02 09:15:00,headquarters,2,3951
2012-02-02 09:30:00,headquarters,2,4730
2012-02-02 09:45:00,headquarters,2,5518
2012-02-02 10:00:00,headquarters,2,6311
2012-02-02 10:15:00,headquarters,2,7104
2012-02-02 10:30:00,headquarters,2,7842
2012-02-02 10:45:00,headquarters,2,8611
2012-02-02 11:00:00,headquarters,2,9621
2012-02-02 11:15:00,headquarters,2,10398
2012-02-02 11:30:00,headquarters,2,11207
2012-02-02 11:45:00,headquarters,2,11893
2012-02-02 12:00:00,headquarters,2,12691
2012-02-02 12:15:00,headquarters,2,13402
2012-02-02 12:30:00,headquarters,2,14146
2012-02-02 12:45:00,headquarters,2,14966
2012-02-02 13:00:00,headquarters,2,15666
2012-02-02 13:15:00,headquarters,2,16394
2012-02-02 13:30:00,headquarters,2,17092
2012-02-02 13:45:00,headquarters,2,17834
2012-02-02 14:00:00,headquarters,2,18552
2012-02-02 14:15:00,headquarters,2,19243
2012-02-02 14:30:00,headquarters,2,19951
2012-02-02 14:45:00,headquarters,2,21518
2012-02-02 15:00:00,headquarters,2,22244
2012-02-02 15:15:00,headquarters,2,22987
2012-02-02 15:30:00,headquarters,2,23719
2012-02-02 15:45:00,headquarters,2,24420
2012-02-02 16:00:00,headquarters,2,25085
2012-02-02 16:15:00,headquarters,2,25755
2012-02-02 16:30:00,headquarters,2,26374
2012-02-02 16:45:00,headquarters,2,27005
2012-02-02 17:00:00,headquarters,2,27658
2012-02-02 17:15:00,headquarters,2,28341
2012-02-02 17:30:00,headquarters,2,29023
2012-02-02 17:45:00,headquarters,2,29684
2012-02-02 18:00:00,headquarters,2,30319
2012-02-02 18:15:00,headquarters,2,35313
2012-02-02 18:30:00,headquarters,2,36020
2012-02-02 18:45:00,headquarters,2,36689
2012-02-02 19:00:00,headquarters,2,37391
2012-02-02 19:15:00,headquarters,2,39470
2012-02-02 19:30:00,headquarters,2,40212
2012-02-02 19:45:00,headquarters,2,40882
2012-02-02 20:00:00,headquarters,2,41601
2012-02-02 20:15:00,headquarters,2,42325
2012-02-02 20:30:00,headquarters,2,43065
2012-02-02 20:45:00,headquarters,2,43721
2012-02-02 21:00:00,headquarters,2,44368
2012-02-02 21:15:00,headquarters,2,45034
2012-02-02 21:30:00,headquarters,2,45645
2012-02-02 21:45:00,headquarters,2,46315
2012-02-02 22:00:00,headquarters,2,45812
2012-02-02 22:15:00,headquarters,2,46467
2012-02-02 22:30:00,headquarters,2,47090
2012-02-02 22:45:00,headquarters,2,47694
2012-02-02 23:00:00,headquarters,2,48364
2012-02-02 23:15:00,headquarters,2,49036
2012-02-02 23:30:00,headquarters,2,49685
2012-02-02 23:45:00,headquarters,2,50240
2012-02-03 00:00:00,headquarters,2,50782
2012-02-03 00:15:00,headquarters,2,51390
2012-02-03 00:30:00,headquarters,2,52000
2012-02-03 00:45:00,headquarters,2,52509
2012-02-03 01:00:00,headquarters,2,53142
2012-02-03 01:15:00,headquarters,2,53685
2012-02-03 01:30:00,headquarters,2,54274
