healthtime,businessunit,machineclass,ipaddrcount
2012-02-02 12:45:00,headquarters,server,1
2012-02-02 13:00:00,headquarters,server,1
2012-02-02 13:15:00,headquarters,server,1
2012-02-02 13:30:00,headquarters,server,1
2012-02-02 13:45:00,headquarters,server,1
2012-02-02 14:00:00,headquarters,server,1
2012-02-02 14:15:00,headquarters,server,1
2012-02-02 14:30:00,headquarters,server,1
2012-02-02 14:45:00,headquarters,server,1
2012-02-02 15:00:00,headquarters,server,1
2012-02-02 15:15:00,headquarters,server,1
2012-02-02 15:30:00,headquarters,server,1
2012-02-02 15:45:00,headquarters,server,1
2012-02-02 16:00:00,headquarters,server,2
2012-02-02 16:15:00,headquarters,server,2
2012-02-02 16:30:00,headquarters,server,2
2012-02-02 16:45:00,headquarters,server,2
2012-02-02 17:00:00,headquarters,server,2
2012-02-02 17:15:00,headquarters,server,2
2012-02-02 17:30:00,headquarters,server,3
2012-02-02 17:45:00,headquarters,server,3
2012-02-02 18:00:00,headquarters,server,3
2012-02-02 18:15:00,headquarters,server,4
2012-02-02 18:30:00,headquarters,server,4
2012-02-02 18:45:00,headquarters,server,4
2012-02-02 19:00:00,headquarters,server,6
2012-02-02 19:15:00,headquarters,server,8
2012-02-02 19:30:00,headquarters,server,9
2012-02-02 19:45:00,headquarters,server,10
2012-02-02 20:00:00,headquarters,server,11
2012-02-02 20:15:00,headquarters,server,12
2012-02-02 20:30:00,headquarters,server,13
2012-02-02 20:45:00,headquarters,server,13
2012-02-02 21:00:00,headquarters,server,14
2012-02-02 21:15:00,headquarters,server,17
2012-02-02 21:15:00,headquarters,workstation,1
2012-02-02 21:30:00,headquarters,server,21
2012-02-02 21:30:00,headquarters,workstation,1
2012-02-02 21:45:00,headquarters,server,21
2012-02-02 21:45:00,headquarters,workstation,1
2012-02-02 22:00:00,headquarters,server,21
2012-02-02 22:15:00,headquarters,server,21
2012-02-02 22:30:00,headquarters,server,22
2012-02-02 22:45:00,headquarters,server,25
2012-02-02 23:00:00,headquarters,server,26
2012-02-02 23:15:00,headquarters,server,26
2012-02-02 23:30:00,headquarters,server,27
2012-02-02 23:45:00,headquarters,server,30
2012-02-03 00:00:00,headquarters,server,31
2012-02-03 00:00:00,headquarters,workstation,1
2012-02-03 00:15:00,headquarters,server,33
2012-02-03 00:15:00,headquarters,workstation,1
2012-02-03 00:30:00,headquarters,server,37
2012-02-03 00:30:00,headquarters,workstation,1
2012-02-03 00:45:00,headquarters,server,37
2012-02-03 00:45:00,headquarters,workstation,1
2012-02-03 01:00:00,headquarters,server,37
2012-02-03 01:00:00,headquarters,workstation,1
2012-02-03 01:15:00,headquarters,server,42
2012-02-03 01:15:00,headquarters,workstation,1
2012-02-03 01:30:00,headquarters,server,46
2012-02-03 01:30:00,headquarters,workstation,1
2012-02-03 01:45:00,headquarters,server,51
2012-02-03 01:45:00,headquarters,workstation,1
2012-02-03 02:00:00,headquarters,server,57
2012-02-03 02:00:00,headquarters,workstation,1
2012-02-03 02:15:00,headquarters,server,58
2012-02-03 02:15:00,headquarters,workstation,1
2012-02-03 02:30:00,headquarters,server,67
2012-02-03 02:30:00,headquarters,workstation,1
2012-02-03 02:45:00,headquarters,server,71
2012-02-03 02:45:00,headquarters,workstation,1
2012-02-03 03:00:00,headquarters,server,72
2012-02-03 03:15:00,headquarters,server,76
2012-02-03 03:15:00,headquarters,workstation,1
2012-02-03 03:30:00,headquarters,server,80
2012-02-03 03:30:00,headquarters,workstation,1
2012-02-03 03:45:00,headquarters,server,84
2012-02-03 03:45:00,headquarters,workstation,1
2012-02-03 04:00:00,headquarters,server,89
2012-02-03 04:00:00,headquarters,workstation,1
2012-02-03 04:15:00,headquarters,server,92
2012-02-03 04:15:00,headquarters,workstation,1
2012-02-03 04:30:00,headquarters,server,95
2012-02-03 04:30:00,headquarters,workstation,1
2012-02-03 04:45:00,headquarters,server,98
2012-02-03 04:45:00,headquarters,workstation,1
2012-02-03 05:00:00,headquarters,server,100
2012-02-03 05:00:00,headquarters,workstation,1
2012-02-03 05:15:00,headquarters,server,105
2012-02-03 05:15:00,headquarters,workstation,1
2012-02-03 05:30:00,headquarters,server,107
2012-02-03 05:30:00,headquarters,workstation,1
2012-02-03 05:45:00,headquarters,server,113
2012-02-03 05:45:00,headquarters,workstation,1
2012-02-03 06:00:00,headquarters,server,115
2012-02-03 06:00:00,headquarters,workstation,1
2012-02-03 06:15:00,headquarters,server,119
2012-02-03 06:15:00,headquarters,workstation,1
2012-02-03 06:30:00,headquarters,server,126
2012-02-03 06:30:00,headquarters,workstation,1
2012-02-03 06:45:00,headquarters,server,133
2012-02-03 06:45:00,headquarters,workstation,1
2012-02-03 07:00:00,headquarters,server,138
2012-02-03 07:00:00,headquarters,workstation,1
2012-02-03 07:15:00,headquarters,server,143
2012-02-03 07:15:00,headquarters,workstation,1
2012-02-03 07:30:00,headquarters,server,145
2012-02-03 07:30:00,headquarters,workstation,2
2012-02-03 07:45:00,headquarters,server,151
2012-02-03 07:45:00,headquarters,workstation,3
2012-02-03 08:00:00,headquarters,server,155
2012-02-03 08:00:00,headquarters,workstation,3
2012-02-03 08:15:00,headquarters,server,167
2012-02-03 08:15:00,headquarters,workstation,3
2012-02-03 08:30:00,headquarters,server,171
2012-02-03 08:30:00,headquarters,workstation,3
2012-02-03 08:45:00,headquarters,server,177
2012-02-03 08:45:00,headquarters,workstation,3
2012-02-03 09:00:00,headquarters,server,182
2012-02-03 09:00:00,headquarters,workstation,3
2012-02-03 09:15:00,headquarters,server,187
2012-02-03 09:15:00,headquarters,workstation,3
2012-02-03 09:30:00,headquarters,server,196
2012-02-03 09:30:00,headquarters,workstation,3
2012-02-03 09:45:00,headquarters,server,205
2012-02-03 09:45:00,headquarters,workstation,3
2012-02-03 10:00:00,headquarters,server,212
2012-02-03 10:00:00,headquarters,workstation,3
2012-02-03 10:15:00,headquarters,server,216
2012-02-03 10:15:00,headquarters,workstation,3
2012-02-03 10:30:00,headquarters,server,226
2012-02-03 10:30:00,headquarters,workstation,3
2012-02-03 10:45:00,headquarters,server,234
2012-02-03 10:45:00,headquarters,workstation,3
2012-02-03 11:00:00,headquarters,server,244
2012-02-03 11:00:00,headquarters,workstation,7
2012-02-03 11:15:00,headquarters,server,251
2012-02-03 11:15:00,headquarters,workstation,8
2012-02-03 11:30:00,headquarters,server,262
2012-02-03 11:30:00,headquarters,workstation,10
2012-02-03 11:45:00,headquarters,server,270
2012-02-03 11:45:00,headquarters,workstation,11
2012-02-03 12:00:00,headquarters,server,286
2012-02-03 12:00:00,headquarters,workstation,13
2012-02-03 12:15:00,headquarters,server,292
2012-02-03 12:15:00,headquarters,workstation,13
2012-02-03 12:30:00,headquarters,server,303
2012-02-03 12:30:00,headquarters,workstation,13
2012-02-03 12:45:00,headquarters,server,313
2012-02-03 12:45:00,headquarters,workstation,13
2012-02-03 13:00:00,headquarters,server,320
2012-02-03 13:00:00,headquarters,workstation,13
2012-02-03 13:15:00,headquarters,server,328
2012-02-03 13:15:00,headquarters,workstation,15
2012-02-03 13:30:00,headquarters,server,338
2012-02-03 13:30:00,headquarters,workstation,18
2012-02-03 13:45:00,headquarters,server,345
2012-02-03 13:45:00,headquarters,workstation,19
2012-02-03 14:00:00,headquarters,server,354
2012-02-03 14:00:00,headquarters,workstation,19
2012-02-03 14:15:00,headquarters,server,370
2012-02-03 14:15:00,headquarters,workstation,19
2012-02-03 14:30:00,headquarters,server,381
2012-02-03 14:30:00,headquarters,workstation,19
2012-02-03 14:45:00,headquarters,server,389
2012-02-03 14:45:00,headquarters,workstation,21
2012-02-03 15:00:00,headquarters,server,407
2012-02-03 15:00:00,headquarters,workstation,22
2012-02-03 15:15:00,headquarters,server,414
2012-02-03 15:15:00,headquarters,workstation,24
2012-02-03 15:30:00,headquarters,server,427
2012-02-03 15:30:00,headquarters,workstation,25
2012-02-03 15:45:00,headquarters,server,439
2012-02-03 15:45:00,headquarters,workstation,27
2012-02-03 16:00:00,headquarters,server,456
2012-02-03 16:00:00,headquarters,workstation,29
2012-02-03 16:15:00,headquarters,server,459
2012-02-03 16:15:00,headquarters,workstation,29
2012-02-03 16:30:00,headquarters,server,466
2012-02-03 16:30:00,headquarters,workstation,29
2012-02-03 16:45:00,headquarters,server,481
2012-02-03 16:45:00,headquarters,workstation,31
2012-02-03 17:00:00,headquarters,server,489
2012-02-03 17:00:00,headquarters,workstation,32
2012-02-03 17:15:00,headquarters,server,501
2012-02-03 17:15:00,headquarters,workstation,32
2012-02-03 17:30:00,headquarters,server,519
2012-02-03 17:30:00,headquarters,workstation,33
2012-02-03 17:45:00,headquarters,server,533
2012-02-03 17:45:00,headquarters,workstation,33
2012-02-03 18:00:00,headquarters,server,545
2012-02-03 18:00:00,headquarters,workstation,33
2012-02-03 18:15:00,headquarters,server,560
2012-02-03 18:15:00,headquarters,workstation,34
2012-02-03 18:30:00,headquarters,server,577
2012-02-03 18:30:00,headquarters,workstation,34
2012-02-03 18:45:00,headquarters,server,587
2012-02-03 18:45:00,headquarters,workstation,34
2012-02-03 19:00:00,headquarters,server,605
2012-02-03 19:00:00,headquarters,workstation,36
2012-02-03 19:15:00,headquarters,server,616
2012-02-03 19:15:00,headquarters,workstation,36
2012-02-03 19:30:00,headquarters,server,632
