ipaddr,machineclass,machinefunction,businessunit,facility,latitude,longitude
172.1.1.45,workstation,office,headquarters,headquarters,0.8173708,-70.259796
172.8.232.2,server,web,region-1,branch1,42.680378,-137.53181
172.1.61.2,server,compute,headquarters,datacenter-1,31.065144,-101.19883
172.4.83.2,server,multiple,headquarters,datacenter-5,66.6357,-100.557335
172.8.236.43,workstation,teller,region-1,branch2,38.637543,-133.5729
172.9.8.28,server,web,region-1,branch11,41.83269,-137.31322
172.10.38.3,atm,,region-1,branch105,39.121128,-131.46034
172.10.46.49,workstation,teller,region-1,branch108,46.80868,-134.40573
172.9.11.2,server,web,region-1,branch12,39.197884,-132.40892
172.9.14.2,server,compute,region-1,branch13,40.74976,-135.87015
172.10.111.6,server,multiple,region-1,branch130,42.128998,-139.64922
172.9.17.2,server,web,region-1,branch14,41.820004,-138.27719
172.10.154.50,workstation,office,region-1,branch144,42.55392,-142.1561
172.10.158.6,atm,,region-1,branch145,43.580208,-134.19978
172.9.23.5,server,web,region-1,branch16,44.44773,-143.7932
172.10.175.38,workstation,teller,region-1,branch151,42.938206,-142.85574
172.10.199.46,workstation,loan,region-1,branch159,36.662792,-133.22171
172.10.209.2,atm,,region-1,branch162,43.20742,-130.58104
172.10.222.34,server,web,region-1,branch167,47.493282,-141.63147
172.10.242.2,atm,,region-1,branch173,42.537277,-137.29985
172.10.248.9,atm,,region-1,branch175,36.37654,-139.95555
172.11.15.2,atm,,region-1,branch182,42.259083,-135.86182
172.11.20.9,workstation,teller,region-1,branch184,38.426,-134.68082
172.11.57.2,atm,,region-1,branch196,46.718098,-141.5916
172.11.60.2,atm,,region-1,branch197,47.39245,-131.50163
172.8.238.2,server,email,region-1,branch3,40.031174,-141.19032
172.9.43.2,atm,,region-1,branch22,43.49315,-142.94485
172.9.47.2,server,web,region-1,branch24,46.401333,-134.60526
172.9.61.7,atm,,region-1,branch28,40.007984,-134.8306
172.9.64.2,atm,,region-1,branch29,38.257725,-142.01079
172.9.82.8,atm,,region-1,branch35,41.660755,-142.2767
172.9.85.2,atm,,region-1,branch36,42.889084,-132.98375
172.8.244.2,server,web,region-1,branch5,46.094185,-131.56541
172.9.117.45,workstation,loan,region-1,branch47,38.232155,-134.00403
172.8.247.2,server,web,region-1,branch6,39.49432,-131.64207
172.9.129.40,workstation,loan,region-1,branch51,43.727028,-142.82668
172.9.153.35,workstation,loan,region-1,branch59,36.32991,-141.63614
172.8.250.2,server,multiple,region-1,branch7,43.225445,-140.38982
172.9.166.2,atm,,region-1,branch63,39.024063,-132.77809
172.8.254.38,workstation,office,region-1,branch8,37.60904,-130.6421
172.9.202.2,atm,,region-1,branch75,37.569637,-140.93903
172.9.206.25,server,multiple,region-1,branch77,41.69673,-132.32933
172.9.3.23,workstation,loan,region-1,branch9,39.71374,-139.54286
172.9.5.2,server,file server,region-1,branch10,37.957996,-134.95064
172.3.157.72,server,compute,headquarters,datacenter-4,0.95105463,-70.41286
172.9.252.3,workstation,loan,region-1,branch92,39.48085,-132.43765
172.5.37.133,server,web,region-1,headquarters,41.201653,-137.75
172.11.71.52,workstation,loan,region-2,branch1,27.058043,-143.03445
172.11.74.41,workstation,office,region-2,branch2,19.42961,-152.0989
172.11.101.29,workstation,office,region-2,branch11,18.84595,-153.63293
172.12.127.2,atm,,region-2,branch104,28.082071,-148.86859
172.12.149.25,server,email,region-2,branch112,28.860653,-153.7934
172.12.232.2,atm,,region-2,branch139,29.966217,-143.05864
172.13.8.2,atm,,region-2,branch149,24.919188,-147.08374
172.13.30.23,server,web,region-2,branch157,20.681404,-143.12245
172.13.54.5,server,web,region-2,branch165,31.849854,-143.66522
172.13.65.2,atm,,region-2,branch168,22.94079,-144.03471
172.13.77.2,atm,,region-2,branch172,19.39753,-142.71735
172.13.80.2,atm,,region-2,branch173,23.11273,-143.16803
172.13.95.2,atm,,region-2,branch178,21.188345,-150.16916
172.13.114.28,server,web,region-2,branch185,23.348577,-146.04623
172.13.120.5,server,web,region-2,branch187,29.60653,-146.88264
172.13.134.9,atm,,region-2,branch191,22.419552,-152.28792
172.13.140.2,atm,,region-2,branch193,25.681526,-153.84964
172.13.149.2,atm,,region-2,branch196,28.078886,-152.93059
172.11.79.2,server,email,region-2,branch4,17.93745,-154.53899
172.11.189.2,atm,,region-2,branch40,28.695614,-148.10922
172.11.82.2,server,file server,region-2,branch5,23.544775,-150.57088
