healthtime,businessunit,lag,file_server_reported,file_server_avg_conn,multiple_reported,multiple_avg_conn,email_reported,email_avg_conn,compute_reported,compute_avg_conn,web_reported,web_avg_conn
2012-02-02 08:15:00,region-1,9,5648,25.5835694050991501,11753,25.7197311324768144,2780,26.1992805755395683,1346,25.3410104011887073,7083,25.2737540590145419
2012-02-02 08:30:00,region-1,9,5642,25.4299893654732364,11739,25.6389811738648948,2779,25.5591939546599496,1345,25.8342007434944238,7077,25.5838632188780557
2012-02-02 08:45:00,region-1,9,5638,25.5487761617594892,11731,25.3317705225470974,2780,25.7388489208633094,1341,25.4712900820283371,7076,25.3617863199547767
2012-02-02 09:00:00,region-1,9,5638,25.5106420716566158,11727,25.5839515647650721,2778,25.6846652267818575,1342,26.3301043219076006,7076,25.2840587902769927
2012-02-02 09:15:00,region-1,9,5635,25.3960958296362023,11727,25.5548733691481197,2776,25.1491354466858790,1343,25.4311243484735666,7072,25.5096153846153846
2012-02-02 09:30:00,region-1,9,5638,25.4934373891450869,11731,25.5447105958571307,2777,25.4591285559956788,1345,24.8208178438661710,7070,25.3099009900990099
2012-02-02 09:45:00,region-1,9,5637,25.4738335994323222,11735,25.6802726885385599,2774,25.8550829127613554,1345,25.5851301115241636,7070,25.3432814710042433
2012-02-02 10:00:00,region-1,9,5642,25.6976249556894718,11733,25.3704082502343817,2775,25.5578378378378378,1346,25.3261515601783061,7071,25.7460048083722246
2012-02-02 10:15:00,region-1,9,5641,25.4213791880872186,11732,25.5009376065461984,2775,25.7708108108108108,1343,25.6522710349962770,7074,25.4770992366412214
2012-02-02 10:30:00,region-1,9,5637,25.4651410324640766,11730,25.3103154305200341,2774,25.6492429704397981,1343,25.7326880119136262,7073,25.5296196804750459
2012-02-02 10:45:00,region-1,9,5636,25.3168914123491838,11726,25.4745011086474501,2776,25.3717579250720461,1345,25.1412639405204461,7075,25.4028268551236749
2012-02-02 11:00:00,region-1,9,5640,25.5065602836879433,11728,25.4751023192360164,2776,25.5756484149855908,1342,25.0789865871833085,7073,25.5229746924925774
2012-02-02 11:15:00,region-1,9,5638,25.8100390209294076,11728,25.4438096862210095,2776,25.7417146974063401,1344,25.8348214285714286,7068,25.3425297113752122
2012-02-02 11:30:00,region-1,9,5636,25.7028034066713982,11736,25.3286468984321745,2777,25.3006841915736406,1345,25.3881040892193309,7064,25.6172140430351076
2012-02-02 11:45:00,region-1,9,5641,25.9508952313419606,11737,25.5101814773792281,2776,25.7146974063400576,1344,24.9122023809523810,7058,25.5505809011051289
2012-02-02 12:00:00,region-1,9,5638,25.4558354026250443,11731,25.4603188134003921,2775,25.5700900900900901,1345,25.8869888475836431,7057,25.2886495678050163
2012-02-02 12:15:00,region-1,9,5642,25.5331442750797590,11726,25.0736824151458298,2775,25.5542342342342342,1344,25.3839285714285714,7058,25.3170869934825730
2012-02-02 12:30:00,region-1,9,5640,25.7388297872340426,11716,25.5330317514510072,2774,25.3835616438356164,1344,25.1577380952380952,7066,25.4499009340503821
2012-02-02 12:45:00,region-1,9,5639,26.2252172370987764,11715,25.6595817328211694,2774,25.8233597692862293,1344,25.1830357142857143,7064,25.1560022650056625
2012-02-02 13:00:00,region-1,9,5639,25.2887036708636283,11717,25.3868737731501238,2772,25.6735209235209235,1344,25.9992559523809524,7065,25.2866242038216561
2012-02-02 13:15:00,region-1,9,5637,25.3198509845662586,11727,25.6642790142406413,2772,24.8311688311688312,1345,25.1434944237918216,7061,25.4690553745928339
2012-02-02 13:30:00,region-1,9,5639,25.6203227522610392,11735,25.3821900298253089,2773,25.2664983772087991,1346,25.1411589895988113,7064,25.4695639864099660
2012-02-02 13:45:00,region-1,9,5635,25.5950310559006211,11733,25.3578794852126481,2775,25.6789189189189189,1344,25.1718750000000000,7071,25.5915712063357375
2012-02-02 14:00:00,region-1,9,5632,25.4305752840909091,11728,25.3603342428376535,2776,25.3638328530259366,1343,25.3320923306031273,7073,25.5529478297752015
2012-02-02 14:15:00,region-1,9,5632,25.1903409090909091,11733,25.5630273587317822,2777,26.0637378465970472,1341,25.7949291573452647,7072,25.6832579185520362
2012-02-02 14:30:00,region-1,9,5636,25.2748403122782115,11730,25.6120204603580563,2776,25.5461095100864553,1343,25.3715562174236783,7071,25.7827747136190072
2012-02-02 14:45:00,region-1,9,5638,25.7516849946789642,11728,25.5089529331514325,2775,25.1618018018018018,1344,25.3206845238095238,7071,25.3701032385801160
2012-02-02 15:00:00,region-1,9,5638,28.7007804185881518,11724,28.5595359945411122,2775,28.2540540540540541,1343,28.2859270290394639,7071,28.5603167868759723
2012-02-02 15:15:00,region-1,9,5633,28.2874134564175395,11721,28.7848306458493303,2770,28.6184115523465704,1343,27.3685778108711839,7071,28.7905529628058266
2012-02-02 15:30:00,region-1,9,5633,28.3877152494230428,11730,28.8965046888320546,2774,28.1034607065609229,1344,28.6986607142857143,7068,28.2920203735144312
2012-02-02 15:45:00,region-1,9,5636,28.3921220723917672,11729,28.7900076732884304,2777,28.7256031688872884,1345,28.1539033457249071,7061,28.4196289477411132
2012-02-02 16:00:00,region-1,9,5638,52.6920893934019156,11728,52.3288710777626194,2775,52.2753153153153153,1345,51.7710037174721190,7063,52.4101656519892397
2012-02-02 16:15:00,region-1,9,5638,52.3891450869102519,11729,52.0196095148776537,2775,52.0832432432432432,1345,54.5724907063197026,7064,52.4150622876557191
2012-02-02 16:30:00,region-1,9,5637,52.6279936136242682,11729,52.5463381362434990,2775,51.8281081081081081,1344,52.3816964285714286,7066,51.9633455986413813
2012-02-02 16:45:00,region-1,9,5635,51.8358473824312334,11734,52.4533833304925856,2774,52.6813266041816871,1344,52.7269345238095238,7073,52.1275272161741835
2012-02-02 17:00:00,region-1,9,5638,53.1803831145796382,11730,51.9947996589940324,2776,51.9185878962536023,1344,52.2395833333333333,7072,52.9087952488687783
2012-02-02 17:15:00,region-1,9,5637,52.1653361717225475,11733,52.4187334867467826,2777,52.4094346416996759,1343,51.8391660461653016,7072,53.1578054298642534
2012-02-02 17:30:00,region-1,9,5637,52.2240553485896754,11733,52.5553566862694963,2775,52.6046846846846847,1344,53.1800595238095238,7070,52.1660537482319661
2012-02-02 17:45:00,region-1,9,5638,53.3031216743526073,11728,52.1458901773533424,2771,51.7044388307470227,1346,52.0728083209509658,7062,52.2012177853299349
2012-02-02 18:00:00,region-1,9,5637,52.0078055703388327,11731,52.2786633705566448,2771,52.5009022013713461,1346,52.0624071322436850,7063,52.7639813110576242
2012-02-02 18:15:00,region-1,9,5641,51.9656089345860663,11729,52.4127376587944411,2771,52.6163839769036449,1346,53.9294205052005944,7061,52.3925789548222631
2012-02-02 18:30:00,region-1,9,5637,52.9380876352669860,11730,52.7370843989769821,2774,52.6279740447007931,1346,52.6426448736998514,7067,52.5280882977218056
2012-02-02 18:45:00,region-1,9,5638,52.4631074849237318,11735,52.4467831273966766,2777,52.1847317248829672,1346,52.6196136701337296,7067,52.5641715013442762
2012-02-02 19:00:00,region-1,9,5638,52.2160340546293012,11737,52.7676578341995399,2776,52.4092219020172911,1345,51.5583643122676580,7069,52.1430188145423681
2012-02-02 19:15:00,region-1,9,5635,52.8133096716947649,11737,52.5599386555337821,2778,52.2933765298776098,1345,53.0401486988847584,7073,52.1983599604128376
2012-02-02 19:30:00,region-1,9,5633,53.2668205219243742,11733,52.4894741327878633,2779,51.8233177401943145,1345,52.5702602230483271,7072,52.8116515837104072
2012-02-02 19:45:00,region-1,9,5633,52.0608911769927215,11736,52.4910531697341513,2778,52.6925845932325414,1345,52.8535315985130112,7070,52.3298444130127298
2012-02-02 20:00:00,region-1,9,5643,52.4993797625376573,11739,52.5906806371922651,2777,53.6543032048973713,1341,53.9284116331096197,7069,52.6812844815391144
2012-02-02 20:15:00,region-1,9,5639,52.7568717857776201,11735,52.4061354921175969,2775,52.3834234234234234,1343,52.0900967982129561,7069,52.2665157730937898
2012-02-02 20:30:00,region-1,9,5631,52.2711774107618540,11734,52.6058462587352991,2775,52.0172972972972973,1341,52.4929157345264728,7062,53.0049561030869442
2012-02-02 20:45:00,region-1,9,5639,52.5749246320269551,11736,52.6050613496932515,2776,52.9074207492795389,1340,51.8559701492537313,7066,51.9575431644494764
2012-02-02 21:00:00,region-1,9,5635,51.9581188997338066,11733,52.9088894570868491,2776,52.9121037463976945,1342,52.2779433681073025,7067,52.3094665345974246
2012-02-02 21:15:00,region-1,9,5636,53.0000000000000000,11732,52.4859359018070235,2774,53.9762076423936554,1342,51.7481371087928465,7067,52.4369605207301542
2012-02-02 21:30:00,region-1,9,5640,52.6773049645390071,11733,52.9319014744737066,2775,52.7459459459459459,1341,51.8374347501864280,7068,51.9118562535370685
2012-02-02 21:45:00,region-1,9,5643,52.6868686868686869,11732,52.6165189226048415,2775,52.1113513513513514,1341,51.8859060402684564,7066,52.5258986696858194
2012-02-02 22:00:00,region-1,9,5638,53.0322809506917347,11734,52.5616158172831089,2774,52.1770007209805335,1340,52.2238805970149254,7069,53.1416041872966473
2012-02-02 22:15:00,region-1,9,5632,52.0626775568181818,11728,52.4657230559345157,2774,52.2912761355443403,1341,52.3997017151379567,7072,52.3392251131221719
2012-02-02 22:30:00,region-1,9,5635,52.3678793256433008,11726,52.6999829438853829,2775,53.4345945945945946,1342,52.9120715350223547,7074,52.1169069833191971
2012-02-02 22:45:00,region-1,9,5628,52.5975479744136461,11730,52.1135549872122762,2776,51.7334293948126801,1342,52.4538002980625931,7066,52.3298896122275686
2012-02-02 23:00:00,region-1,9,5626,52.1503732669747600,11734,52.5301687404124766,2776,52.0864553314121037,1344,53.5133928571428571,7066,51.5666572318143221
