businessunit,healthtime,a1,a2,a3,a4,a5,p1,p2,p3,p4,p5
2012-02-02 08:15:00,region-1,28582,28,0,0,0,28505,105,0,0,0
2012-02-02 08:30:00,region-1,28558,24,0,0,0,28384,198,0,0,0
2012-02-02 08:45:00,region-1,28545,21,0,0,0,28266,300,0,0,0
2012-02-02 09:00:00,region-1,28536,25,0,0,0,28137,423,1,0,0
2012-02-02 09:15:00,region-1,28533,20,0,0,0,28028,524,1,0,0
2012-02-02 09:30:00,region-1,28538,23,0,0,0,27926,633,2,0,0
2012-02-02 09:45:00,region-1,28545,16,0,0,0,27819,737,5,0,0
2012-02-02 10:00:00,region-1,28542,25,0,0,0,27693,869,5,0,0
2012-02-02 10:15:00,region-1,28548,17,0,0,0,27580,980,5,0,0
2012-02-02 10:30:00,region-1,28537,20,0,0,0,27458,1091,8,0,0
2012-02-02 10:45:00,region-1,28538,20,0,0,0,27337,1210,11,0,0
2012-02-02 11:00:00,region-1,28536,23,0,0,0,27235,1309,15,0,0
2012-02-02 11:15:00,region-1,28534,20,0,0,0,27134,1403,17,0,0
2012-02-02 11:30:00,region-1,28537,21,0,0,0,27026,1508,24,0,0
2012-02-02 11:45:00,region-1,28527,29,0,0,0,26920,1604,32,0,0
2012-02-02 12:00:00,region-1,28523,23,0,0,0,26807,1705,34,0,0
2012-02-02 12:15:00,region-1,28518,27,0,0,0,26710,1793,42,0,0
2012-02-02 12:30:00,region-1,28512,28,0,0,0,26608,1885,47,0,0
2012-02-02 12:45:00,region-1,28509,27,0,0,0,26495,1990,51,0,0
2012-02-02 13:00:00,region-1,28516,21,0,0,0,26398,2081,58,0,0
2012-02-02 13:15:00,region-1,28520,22,0,0,0,26307,2167,67,1,0
2012-02-02 13:30:00,region-1,28533,24,0,0,0,26224,2259,73,1,0
2012-02-02 13:45:00,region-1,28530,28,0,0,0,26122,2356,78,2,0
2012-02-02 14:00:00,region-1,28534,18,0,0,0,26022,2440,88,2,0
2012-02-02 14:15:00,region-1,28528,27,0,0,0,25924,2528,100,3,0
2012-02-02 14:30:00,region-1,28540,16,0,0,0,25823,2616,112,5,0
2012-02-02 14:45:00,region-1,28527,29,0,0,0,25716,2709,124,7,0
2012-02-02 15:00:00,region-1,28394,37,86,18,16,25599,2812,133,7,0
2012-02-02 15:15:00,region-1,28398,16,90,16,18,25484,2902,145,7,0
2012-02-02 15:30:00,region-1,28402,32,86,10,19,25396,2992,153,8,0
2012-02-02 15:45:00,region-1,28420,24,63,16,25,25281,3100,159,8,0
2012-02-02 16:00:00,region-1,27500,21,678,168,182,25184,3184,172,9,0
2012-02-02 16:15:00,region-1,27586,27,619,167,152,25093,3259,189,10,0
2012-02-02 16:30:00,region-1,27619,21,602,161,148,24988,3352,199,12,0
2012-02-02 16:45:00,region-1,27597,17,616,158,172,24914,3426,208,12,0
2012-02-02 17:00:00,region-1,27605,24,624,137,170,24829,3495,221,15,0
2012-02-02 17:15:00,region-1,27609,26,620,157,150,24720,3599,228,15,0
2012-02-02 17:30:00,region-1,27570,29,622,166,172,24631,3669,243,16,0
2012-02-02 17:45:00,region-1,27536,24,648,169,168,24525,3752,251,17,0
2012-02-02 18:00:00,region-1,27572,21,631,163,161,24422,3839,270,16,1
2012-02-02 18:15:00,region-1,27591,21,627,162,147,24315,3929,286,17,1
2012-02-02 18:30:00,region-1,27560,15,657,152,170,24225,4015,295,18,1
2012-02-02 18:45:00,region-1,27607,24,635,151,146,24104,4129,310,19,1
2012-02-02 19:00:00,region-1,27581,17,625,173,169,23995,4219,330,20,1
2012-02-02 19:15:00,region-1,27618,18,606,149,177,23912,4291,342,22,1
2012-02-02 19:30:00,region-1,27556,23,644,173,166,23805,4374,359,23,1
2012-02-02 19:45:00,region-1,27553,19,676,157,157,23716,4446,374,25,1
2012-02-02 20:00:00,region-1,27620,23,625,152,149,23616,4531,395,26,1
2012-02-02 20:15:00,region-1,27564,35,623,165,174,23519,4599,416,26,1
2012-02-02 20:30:00,region-1,27581,17,620,159,166,23409,4676,427,30,1
2012-02-02 20:45:00,region-1,27537,24,675,160,161,23327,4754,443,31,2
2012-02-02 21:00:00,region-1,27610,21,611,169,142,23252,4799,464,36,2
2012-02-02 21:15:00,region-1,27558,19,670,158,146,23160,4873,479,37,2
