healthtime,businessunit,reported,expected
2012-02-02 08:15:00,region-1,28610,0
2012-02-02 08:30:00,region-1,28582,0
2012-02-02 08:45:00,region-1,28566,0
2012-02-02 09:00:00,region-1,28561,0
2012-02-02 09:15:00,region-1,28553,0
2012-02-02 09:30:00,region-1,28561,0
2012-02-02 09:45:00,region-1,28561,0
2012-02-02 10:00:00,region-1,28567,0
2012-02-02 10:15:00,region-1,28565,0
2012-02-02 10:30:00,region-1,28557,0
2012-02-02 10:45:00,region-1,28558,0
2012-02-02 11:00:00,region-1,28559,0
2012-02-02 11:15:00,region-1,28554,0
2012-02-02 11:30:00,region-1,28558,0
2012-02-02 11:45:00,region-1,28556,0
2012-02-02 12:00:00,region-1,28546,0
2012-02-02 12:15:00,region-1,28545,0
2012-02-02 12:30:00,region-1,28540,0
2012-02-02 12:45:00,region-1,28536,0
2012-02-02 13:00:00,region-1,28537,0
2012-02-02 13:15:00,region-1,28542,0
2012-02-02 13:30:00,region-1,28557,0
2012-02-02 13:45:00,region-1,28558,0
2012-02-02 14:00:00,region-1,28552,0
2012-02-02 14:15:00,region-1,28555,0
2012-02-02 14:30:00,region-1,28556,0
2012-02-02 14:45:00,region-1,28556,0
2012-02-02 15:00:00,region-1,28551,0
2012-02-02 15:15:00,region-1,28538,0
2012-02-02 15:30:00,region-1,28549,0
2012-02-02 15:45:00,region-1,28548,0
2012-02-02 16:00:00,region-1,28549,28000
2012-02-02 16:15:00,region-1,28551,28000
2012-02-02 16:30:00,region-1,28551,28000
2012-02-02 16:45:00,region-1,28560,28000
2012-02-02 17:00:00,region-1,28560,28000
2012-02-02 17:15:00,region-1,28562,28000
2012-02-02 17:30:00,region-1,28559,28000
2012-02-02 17:45:00,region-1,28545,28000
2012-02-02 18:00:00,region-1,28548,28000
2012-02-02 18:15:00,region-1,28548,28000
2012-02-02 18:30:00,region-1,28554,28000
2012-02-02 18:45:00,region-1,28563,28000
2012-02-02 19:00:00,region-1,28565,28000
2012-02-02 19:15:00,region-1,28568,28000
2012-02-02 19:30:00,region-1,28562,28000
2012-02-02 19:45:00,region-1,28562,28000
2012-02-02 20:00:00,region-1,28569,28000
2012-02-02 20:15:00,region-1,28561,28000
2012-02-02 20:30:00,region-1,28543,28000
2012-02-02 20:45:00,region-1,28557,28000
2012-02-02 21:00:00,region-1,28553,28000
2012-02-02 21:15:00,region-1,28551,28000
2012-02-02 21:30:00,region-1,28557,28000
2012-02-02 21:45:00,region-1,28557,28000
2012-02-02 22:00:00,region-1,28555,28000
2012-02-02 22:15:00,region-1,28547,28000
2012-02-02 22:30:00,region-1,28552,28000
2012-02-02 22:45:00,region-1,28542,28000
2012-02-02 23:00:00,region-1,28546,28000
2012-02-02 23:15:00,region-1,28542,28000
2012-02-02 23:30:00,region-1,28554,28000
2012-02-02 23:45:00,region-1,28553,28000
2012-02-03 00:00:00,region-1,28544,28000
2012-02-03 00:15:00,region-1,28542,28000
2012-02-03 00:30:00,region-1,28546,28000
2012-02-03 00:45:00,region-1,28554,28000
2012-02-03 01:00:00,region-1,28565,28000
2012-02-03 01:15:00,region-1,28563,28000
2012-02-03 01:30:00,region-1,28564,28000
2012-02-03 01:45:00,region-1,28563,28000
2012-02-03 02:00:00,region-1,28562,28000
2012-02-03 02:15:00,region-1,28564,28000
2012-02-03 02:30:00,region-1,28562,28000
2012-02-03 02:45:00,region-1,28565,28000
2012-02-03 03:00:00,region-1,28556,28000
2012-02-03 03:15:00,region-1,28553,0
2012-02-03 03:30:00,region-1,28553,0
2012-02-03 03:45:00,region-1,28556,0
2012-02-03 04:00:00,region-1,28559,0
2012-02-03 04:15:00,region-1,28552,0
2012-02-03 04:30:00,region-1,28551,0
2012-02-03 04:45:00,region-1,28550,0
2012-02-03 05:00:00,region-1,28546,0
2012-02-03 05:15:00,region-1,28544,0
2012-02-03 05:30:00,region-1,28555,0
2012-02-03 05:45:00,region-1,28559,0
2012-02-03 06:00:00,region-1,28559,0
2012-02-03 06:15:00,region-1,28553,0
2012-02-03 06:30:00,region-1,28549,0
2012-02-03 06:45:00,region-1,28544,0
2012-02-03 07:00:00,region-1,28548,0
2012-02-03 07:15:00,region-1,28555,0
2012-02-03 07:30:00,region-1,28567,0
2012-02-03 07:45:00,region-1,28566,0
2012-02-03 08:00:00,region-1,28559,0
2012-02-03 08:15:00,region-1,28544,0
2012-02-03 08:30:00,region-1,28552,0
2012-02-03 08:45:00,region-1,28554,0
2012-02-03 09:00:00,region-1,28560,0
2012-02-03 09:15:00,region-1,28557,0
2012-02-03 09:30:00,region-1,28558,0
2012-02-03 09:45:00,region-1,28555,0
2012-02-03 10:00:00,region-1,28554,0
2012-02-03 10:15:00,region-1,28558,0
2012-02-03 10:30:00,region-1,28555,0
2012-02-03 10:45:00,region-1,28557,0
2012-02-03 11:00:00,region-1,28555,0
2012-02-03 11:15:00,region-1,28560,0
2012-02-03 11:30:00,region-1,28569,0
2012-02-03 11:45:00,region-1,28561,0
2012-02-03 12:00:00,region-1,28566,0
2012-02-03 12:15:00,region-1,28567,0
2012-02-03 12:30:00,region-1,28568,0
2012-02-03 12:45:00,region-1,28556,0
2012-02-03 13:00:00,region-1,28557,0
2012-02-03 13:15:00,region-1,28550,0
2012-02-03 13:30:00,region-1,28566,0
2012-02-03 13:45:00,region-1,28567,0
2012-02-03 14:00:00,region-1,28572,0
2012-02-03 14:15:00,region-1,28570,0
2012-02-03 14:30:00,region-1,28553,0
2012-02-03 14:45:00,region-1,28536,0
2012-02-03 15:00:00,region-1,28546,0
2012-02-03 15:15:00,region-1,28550,0
2012-02-03 15:30:00,region-1,28555,0
2012-02-03 15:45:00,region-1,28553,0
2012-02-03 16:00:00,region-1,28561,28000
2012-02-03 16:15:00,region-1,28560,28000
2012-02-03 16:30:00,region-1,28559,28000
2012-02-03 16:45:00,region-1,28553,28000
2012-02-03 17:00:00,region-1,28549,28000
2012-02-03 17:15:00,region-1,28558,28000
2012-02-03 17:30:00,region-1,28551,28000
2012-02-03 17:45:00,region-1,28551,28000
2012-02-03 18:00:00,region-1,28550,28000
2012-02-03 18:15:00,region-1,28558,28000
2012-02-03 18:30:00,region-1,28559,28000
2012-02-03 18:45:00,region-1,28562,28000
2012-02-03 19:00:00,region-1,28554,28000
2012-02-03 19:15:00,region-1,28552,28000
2012-02-03 19:30:00,region-1,28555,28000
2012-02-03 19:45:00,region-1,28560,28000
2012-02-03 20:00:00,region-1,28556,28000
2012-02-03 20:15:00,region-1,28561,28000
2012-02-03 20:30:00,region-1,28560,28000
2012-02-03 20:45:00,region-1,28555,28000
2012-02-03 21:00:00,region-1,28559,28000
2012-02-03 21:15:00,region-1,28554,28000
2012-02-03 21:30:00,region-1,28560,28000
2012-02-03 21:45:00,region-1,28555,28000
2012-02-03 22:00:00,region-1,28554,28000
2012-02-03 22:15:00,region-1,28542,28000
2012-02-03 22:30:00,region-1,28551,28000
2012-02-03 22:45:00,region-1,28548,28000
2012-02-03 23:00:00,region-1,28554,28000
2012-02-03 23:15:00,region-1,28546,28000
2012-02-03 23:30:00,region-1,28551,28000
2012-02-03 23:45:00,region-1,28552,28000
2012-02-04 00:00:00,region-1,28569,28000
2012-02-04 00:15:00,region-1,28564,28000
2012-02-04 00:30:00,region-1,28558,28000
2012-02-04 00:45:00,region-1,28545,28000
2012-02-04 01:00:00,region-1,28549,28000
2012-02-04 01:15:00,region-1,28548,28000
2012-02-04 01:30:00,region-1,28552,28000
2012-02-04 01:45:00,region-1,28561,28000
2012-02-04 02:00:00,region-1,28551,28000
2012-02-04 02:15:00,region-1,28554,28000
2012-02-04 02:30:00,region-1,28565,28000
2012-02-04 02:45:00,region-1,28556,28000
2012-02-04 03:00:00,region-1,28557,28000
2012-02-04 03:15:00,region-1,28551,0
2012-02-04 03:30:00,region-1,28557,0
2012-02-04 03:45:00,region-1,28556,0
2012-02-04 04:00:00,region-1,28552,0
2012-02-04 04:15:00,region-1,28544,0
2012-02-04 04:30:00,region-1,28533,0
2012-02-04 04:45:00,region-1,28538,0
2012-02-04 05:00:00,region-1,28547,0
2012-02-04 05:15:00,region-1,28549,0
2012-02-04 05:30:00,region-1,28556,0
2012-02-04 05:45:00,region-1,28555,0
2012-02-04 06:00:00,region-1,28557,0
2012-02-04 06:15:00,region-1,28552,0
2012-02-04 06:30:00,region-1,28569,0
2012-02-04 06:45:00,region-1,28565,0
2012-02-04 07:00:00,region-1,28553,0
2012-02-04 07:15:00,region-1,28561,0
2012-02-04 07:30:00,region-1,28562,0
2012-02-04 07:45:00,region-1,28561,0
2012-02-04 08:00:00,region-1,28565,0
2012-02-02 08:15:00,region-2,28532,0
2012-02-02 08:30:00,region-2,28509,0
2012-02-02 08:45:00,region-2,28497,0
2012-02-02 09:00:00,region-2,28486,0
2012-02-02 09:15:00,region-2,28466,0
2012-02-02 09:30:00,region-2,28471,0
2012-02-02 09:45:00,region-2,28472,0
2012-02-02 10:00:00,region-2,28476,0
2012-02-02 10:15:00,region-2,28485,0
2012-02-02 10:30:00,region-2,28482,0
2012-02-02 10:45:00,region-2,28477,0
2012-02-02 11:00:00,region-2,28479,0
2012-02-02 11:15:00,region-2,28477,0
2012-02-02 11:30:00,region-2,28473,0
2012-02-02 11:45:00,region-2,28480,0
2012-02-02 12:00:00,region-2,28469,0
2012-02-02 12:15:00,region-2,28473,0
2012-02-02 12:30:00,region-2,28469,0
2012-02-02 12:45:00,region-2,28463,0
2012-02-02 13:00:00,region-2,28471,0
2012-02-02 13:15:00,region-2,28478,0
2012-02-02 13:30:00,region-2,28488,0
2012-02-02 13:45:00,region-2,28482,0
2012-02-02 14:00:00,region-2,28474,0
2012-02-02 14:15:00,region-2,28471,0
2012-02-02 14:30:00,region-2,28473,0
2012-02-02 14:45:00,region-2,28477,0
2012-02-02 15:00:00,region-2,28469,0
2012-02-02 15:15:00,region-2,28460,0
2012-02-02 15:30:00,region-2,28469,0
2012-02-02 15:45:00,region-2,28476,0
2012-02-02 16:00:00,region-2,28478,28000
2012-02-02 16:15:00,region-2,28481,28000
2012-02-02 16:30:00,region-2,28486,28000
2012-02-02 16:45:00,region-2,28491,28000
2012-02-02 17:00:00,region-2,28487,28000
2012-02-02 17:15:00,region-2,28485,28000
2012-02-02 17:30:00,region-2,28478,28000
2012-02-02 17:45:00,region-2,28471,28000
2012-02-02 18:00:00,region-2,28473,28000
2012-02-02 18:15:00,region-2,28476,28000
2012-02-02 18:30:00,region-2,28482,28000
2012-02-02 18:45:00,region-2,28484,28000
2012-02-02 19:00:00,region-2,28486,28000
2012-02-02 19:15:00,region-2,28485,28000
2012-02-02 19:30:00,region-2,28476,28000
2012-02-02 19:45:00,region-2,28482,28000
2012-02-02 20:00:00,region-2,28483,28000
2012-02-02 20:15:00,region-2,28477,28000
2012-02-02 20:30:00,region-2,28473,28000
2012-02-02 20:45:00,region-2,28480,28000
2012-02-02 21:00:00,region-2,28479,28000
2012-02-02 21:15:00,region-2,28485,28000
2012-02-02 21:30:00,region-2,28485,28000
2012-02-02 21:45:00,region-2,28486,28000
2012-02-02 22:00:00,region-2,28480,28000
2012-02-02 22:15:00,region-2,28477,28000
2012-02-02 22:30:00,region-2,28481,28000
2012-02-02 22:45:00,region-2,28465,28000
2012-02-02 23:00:00,region-2,28467,28000
2012-02-02 23:15:00,region-2,28462,28000
2012-02-02 23:30:00,region-2,28465,28000
2012-02-02 23:45:00,region-2,28465,28000
