businessunit,healthtime,a1,a2,a3,a4,a5,p1,p2,p3,p4,p5
2012-02-02 08:15:00,region-1,6477,9,0,0,0,6467,19,0,0,0
2012-02-02 08:30:00,region-1,6467,10,0,0,0,6431,46,0,0,0
2012-02-02 08:45:00,region-1,6465,5,0,0,0,6393,77,0,0,0
2012-02-02 09:00:00,region-1,6455,14,0,0,0,6372,97,0,0,0
2012-02-02 09:15:00,region-1,6452,9,0,0,0,6339,121,1,0,0
2012-02-02 09:30:00,region-1,6443,16,0,0,0,6310,147,2,0,0
2012-02-02 09:45:00,region-1,6449,6,0,0,0,6280,173,2,0,0
2012-02-02 10:00:00,region-1,6446,12,0,0,0,6251,203,4,0,0
2012-02-02 10:15:00,region-1,6457,3,0,0,0,6221,234,5,0,0
2012-02-02 10:30:00,region-1,6456,9,0,0,0,6205,255,5,0,0
2012-02-02 10:45:00,region-1,6459,5,0,0,0,6168,290,6,0,0
2012-02-02 11:00:00,region-1,6456,12,0,0,0,6151,311,6,0,0
2012-02-02 11:15:00,region-1,6447,16,0,0,0,6125,332,6,0,0
2012-02-02 11:30:00,region-1,6448,11,0,0,0,6101,351,7,0,0
2012-02-02 11:45:00,region-1,6445,12,0,0,0,6079,369,9,0,0
2012-02-02 12:00:00,region-1,6440,11,0,0,0,6049,391,11,0,0
2012-02-02 12:15:00,region-1,6445,7,0,0,0,6031,409,12,0,0
2012-02-02 12:30:00,region-1,6455,5,0,0,0,6013,434,13,0,0
2012-02-02 12:45:00,region-1,6458,9,0,0,0,5997,455,15,0,0
2012-02-02 13:00:00,region-1,6448,17,0,0,0,5969,480,16,0,0
2012-02-02 13:15:00,region-1,6448,9,0,0,0,5928,512,17,0,0
2012-02-02 13:30:00,region-1,6445,14,0,0,0,5908,532,19,0,0
2012-02-02 13:45:00,region-1,6442,12,0,0,0,5882,545,27,0,0
2012-02-02 14:00:00,region-1,6443,14,0,0,0,5863,567,27,0,0
2012-02-02 14:15:00,region-1,6440,14,0,0,0,5837,588,29,0,0
2012-02-02 14:30:00,region-1,6440,11,0,0,0,5802,617,32,0,0
2012-02-02 14:45:00,region-1,6446,12,0,0,0,5786,636,35,1,0
2012-02-02 15:00:00,region-1,7908,18,100,19,57,7239,815,47,1,0
2012-02-02 15:15:00,region-1,7915,15,91,22,57,7213,837,49,1,0
2012-02-02 15:30:00,region-1,7915,11,82,19,71,7175,872,50,1,0
2012-02-02 15:45:00,region-1,7894,11,93,32,66,7138,904,53,1,0
2012-02-02 16:00:00,region-1,10322,25,236,66,180,9522,1231,75,1,0
2012-02-02 16:15:00,region-1,10349,23,224,53,180,9479,1270,79,1,0
2012-02-02 16:30:00,region-1,10323,23,240,65,172,9439,1301,82,1,0
2012-02-02 16:45:00,region-1,10364,14,220,44,174,9393,1332,90,1,0
2012-02-02 17:00:00,region-1,10335,22,237,59,173,9355,1373,95,3,0
2012-02-02 17:15:00,region-1,10347,20,217,68,175,9315,1411,98,3,0
2012-02-02 17:30:00,region-1,10328,17,214,79,190,9286,1439,99,4,0
2012-02-02 17:45:00,region-1,10374,14,229,52,166,9248,1475,106,6,0
2012-02-02 18:00:00,region-1,10307,27,261,61,179,9201,1518,109,7,0
2012-02-02 18:15:00,region-1,10294,22,253,57,201,9167,1536,116,8,0
2012-02-02 18:30:00,region-1,10332,18,238,64,176,9139,1561,119,9,0
2012-02-02 18:45:00,region-1,10361,16,222,60,168,9102,1590,126,9,0
2012-02-02 19:00:00,region-1,10348,10,240,55,177,9060,1626,134,10,0
2012-02-02 19:15:00,region-1,10396,18,212,57,158,9029,1658,144,10,0
2012-02-02 19:30:00,region-1,10339,12,252,56,182,9000,1680,151,9,1
2012-02-02 19:45:00,region-1,10350,18,227,64,184,8965,1716,151,10,1
2012-02-02 20:00:00,region-1,10333,20,254,82,152,8941,1734,154,11,1
2012-02-02 20:15:00,region-1,10329,20,257,65,164,8886,1777,160,11,1
2012-02-02 20:30:00,region-1,10323,15,250,63,187,8847,1811,167,12,1
2012-02-02 20:45:00,region-1,10346,13,238,57,187,8802,1848,178,12,1
2012-02-02 21:00:00,region-1,10347,16,244,55,184,8762,1883,188,12,1
2012-02-02 21:15:00,region-1,10349,18,259,58,159,8727,1906,197,12,1
2012-02-02 21:30:00,region-1,10329,17,242,61,194,8696,1932,201,13,1
2012-02-02 21:45:00,region-1,10388,13,229,54,156,8659,1957,209,14,1
2012-02-02 22:00:00,region-1,10329,19,243,61,194,8628,1987,215,15,1
2012-02-02 22:15:00,region-1,10347,17,249,56,173,8580,2030,216,15,1
2012-02-02 22:30:00,region-1,10342,12,266,56,160,8530,2067,222,15,2
2012-02-02 22:45:00,region-1,10328,14,248,57,192,8497,2089,235,16,2
2012-02-02 23:00:00,region-1,10324,17,248,59,192,8457,2128,235,18,2
2012-02-02 23:15:00,region-1,10352,22,230,64,178,8438,2141,246,19,2
2012-02-02 23:30:00,region-1,10332,23,235,53,194,8401,2162,252,20,2
2012-02-02 23:45:00,region-1,10310,10,242,67,201,8352,2199,257,20,2
2012-02-03 00:00:00,region-1,10335,23,223,68,192,8332,2225,262,20,2
2012-02-03 00:15:00,region-1,10354,16,226,65,176,8305,2238,271,21,2
2012-02-03 00:30:00,region-1,10368,14,216,80,161,8272,2259,283,23,2
2012-02-03 00:45:00,region-1,10306,21,248,66,202,8235,2288,294,24,2
2012-02-03 01:00:00,region-1,10345,21,218,57,201,8209,2305,300,26,2
2012-02-03 01:15:00,region-1,10358,25,224,54,174,8174,2324,307,28,2
2012-02-03 01:30:00,region-1,10324,12,242,48,199,8139,2332,324,28,2
2012-02-03 01:45:00,region-1,10347,24,226,54,180,8113,2354,332,29,3
