healthtime,businessunit,reported,expected
2012-02-02 08:15:00,headquarters,8975,0
2012-02-02 08:30:00,headquarters,8955,0
2012-02-02 08:45:00,headquarters,8947,0
2012-02-02 09:00:00,headquarters,8943,0
2012-02-02 09:15:00,headquarters,8944,0
2012-02-02 09:30:00,headquarters,8943,0
2012-02-02 09:45:00,headquarters,8940,0
2012-02-02 10:00:00,headquarters,8940,0
2012-02-02 10:15:00,headquarters,8939,0
2012-02-02 10:30:00,headquarters,8942,0
2012-02-02 10:45:00,headquarters,8941,0
2012-02-02 11:00:00,headquarters,15006,15000
2012-02-02 11:15:00,headquarters,15005,15000
2012-02-02 11:30:00,headquarters,15006,15000
2012-02-02 11:45:00,headquarters,15007,15000
2012-02-02 12:00:00,headquarters,15012,15000
2012-02-02 12:15:00,headquarters,15005,15000
2012-02-02 12:30:00,headquarters,15008,15000
2012-02-02 12:45:00,headquarters,14987,15000
2012-02-02 13:00:00,headquarters,14989,15000
2012-02-02 13:15:00,headquarters,14994,15000
2012-02-02 13:30:00,headquarters,15006,15000
2012-02-02 13:45:00,headquarters,15012,15000
2012-02-02 14:00:00,headquarters,15003,15000
2012-02-02 14:15:00,headquarters,15010,15000
2012-02-02 14:30:00,headquarters,15006,15000
2012-02-02 14:45:00,headquarters,15015,15000
2012-02-02 15:00:00,headquarters,15018,15000
2012-02-02 15:15:00,headquarters,15019,15000
2012-02-02 15:30:00,headquarters,15017,15000
2012-02-02 15:45:00,headquarters,15014,15000
2012-02-02 16:00:00,headquarters,15017,15000
2012-02-02 16:15:00,headquarters,15022,15000
2012-02-02 16:30:00,headquarters,15026,15000
2012-02-02 16:45:00,headquarters,15023,15000
2012-02-02 17:00:00,headquarters,15021,15000
2012-02-02 17:15:00,headquarters,15017,15000
2012-02-02 17:30:00,headquarters,15016,15000
2012-02-02 17:45:00,headquarters,15017,15000
2012-02-02 18:00:00,headquarters,15020,15000
2012-02-02 18:15:00,headquarters,15015,15000
2012-02-02 18:30:00,headquarters,15018,15000
2012-02-02 18:45:00,headquarters,15015,15000
2012-02-02 19:00:00,headquarters,15007,15000
2012-02-02 19:15:00,headquarters,15010,15000
2012-02-02 19:30:00,headquarters,15013,15000
2012-02-02 19:45:00,headquarters,15015,15000
2012-02-02 20:00:00,headquarters,15015,15000
2012-02-02 20:15:00,headquarters,15017,15000
2012-02-02 20:30:00,headquarters,15016,15000
2012-02-02 20:45:00,headquarters,15021,15000
2012-02-02 21:00:00,headquarters,15021,15000
2012-02-02 21:15:00,headquarters,15022,15000
2012-02-02 21:30:00,headquarters,15021,15000
2012-02-02 21:45:00,headquarters,15014,15000
2012-02-02 22:00:00,headquarters,8949,15000
2012-02-02 22:15:00,headquarters,8936,15000
2012-02-02 22:30:00,headquarters,8941,15000
2012-02-02 22:45:00,headquarters,8953,15000
2012-02-02 23:00:00,headquarters,8949,0
2012-02-02 23:15:00,headquarters,8939,0
2012-02-02 23:30:00,headquarters,8950,0
2012-02-02 23:45:00,headquarters,8945,0
2012-02-03 00:00:00,headquarters,8942,0
2012-02-03 00:15:00,headquarters,8943,0
2012-02-03 00:30:00,headquarters,8936,0
2012-02-03 00:45:00,headquarters,8936,0
2012-02-03 01:00:00,headquarters,8938,0
2012-02-03 01:15:00,headquarters,8936,0
2012-02-03 01:30:00,headquarters,8942,0
2012-02-03 01:45:00,headquarters,8949,0
2012-02-03 02:00:00,headquarters,8938,0
2012-02-03 02:15:00,headquarters,8942,0
2012-02-03 02:30:00,headquarters,8951,0
2012-02-03 02:45:00,headquarters,8955,0
2012-02-03 03:00:00,headquarters,8948,0
2012-02-03 03:15:00,headquarters,8949,0
2012-02-03 03:30:00,headquarters,8945,0
2012-02-03 03:45:00,headquarters,8942,0
2012-02-03 04:00:00,headquarters,8934,0
2012-02-03 04:15:00,headquarters,8939,0
2012-02-03 04:30:00,headquarters,8938,0
2012-02-03 04:45:00,headquarters,8936,0
2012-02-03 05:00:00,headquarters,8946,0
2012-02-03 05:15:00,headquarters,8951,0
2012-02-03 05:30:00,headquarters,8951,0
2012-02-03 05:45:00,headquarters,8947,0
2012-02-03 06:00:00,headquarters,8950,0
2012-02-03 06:15:00,headquarters,8942,0
2012-02-03 06:30:00,headquarters,8936,0
2012-02-03 06:45:00,headquarters,8931,0
2012-02-03 07:00:00,headquarters,8933,0
2012-02-03 07:15:00,headquarters,8936,0
2012-02-03 07:30:00,headquarters,8941,0
2012-02-03 07:45:00,headquarters,8948,0
2012-02-03 08:00:00,headquarters,8947,0
2012-02-03 08:15:00,headquarters,8938,0
2012-02-03 08:30:00,headquarters,8937,0
2012-02-03 08:45:00,headquarters,8937,0
2012-02-03 09:00:00,headquarters,8941,0
2012-02-03 09:15:00,headquarters,8946,0
2012-02-03 09:30:00,headquarters,8942,0
2012-02-03 09:45:00,headquarters,8940,0
2012-02-03 10:00:00,headquarters,8939,0
2012-02-03 10:15:00,headquarters,8945,0
2012-02-03 10:30:00,headquarters,8943,0
2012-02-03 10:45:00,headquarters,8929,0
2012-02-03 11:00:00,headquarters,14998,15000
2012-02-03 11:15:00,headquarters,14984,15000
2012-02-03 11:30:00,headquarters,14993,15000
2012-02-03 11:45:00,headquarters,15001,15000
2012-02-03 12:00:00,headquarters,15014,15000
2012-02-03 12:15:00,headquarters,15007,15000
2012-02-03 12:30:00,headquarters,15014,15000
2012-02-03 12:45:00,headquarters,15003,15000
2012-02-03 13:00:00,headquarters,15009,15000
2012-02-03 13:15:00,headquarters,15013,15000
2012-02-03 13:30:00,headquarters,15006,15000
2012-02-03 13:45:00,headquarters,15017,15000
2012-02-03 14:00:00,headquarters,15016,15000
2012-02-03 14:15:00,headquarters,15019,15000
2012-02-03 14:30:00,headquarters,15007,15000
2012-02-03 14:45:00,headquarters,15008,15000
2012-02-03 15:00:00,headquarters,15009,15000
2012-02-03 15:15:00,headquarters,15008,15000
2012-02-03 15:30:00,headquarters,15004,15000
2012-02-03 15:45:00,headquarters,14993,15000
2012-02-03 16:00:00,headquarters,15011,15000
2012-02-03 16:15:00,headquarters,15019,15000
2012-02-03 16:30:00,headquarters,15022,15000
2012-02-03 16:45:00,headquarters,15023,15000
2012-02-03 17:00:00,headquarters,15024,15000
2012-02-03 17:15:00,headquarters,15016,15000
2012-02-03 17:30:00,headquarters,15016,15000
2012-02-03 17:45:00,headquarters,15012,15000
2012-02-03 18:00:00,headquarters,15018,15000
2012-02-03 18:15:00,headquarters,15019,15000
2012-02-03 18:30:00,headquarters,15013,15000
2012-02-03 18:45:00,headquarters,15005,15000
2012-02-03 19:00:00,headquarters,15009,15000
2012-02-03 19:15:00,headquarters,15009,15000
2012-02-03 19:30:00,headquarters,15009,15000
2012-02-03 19:45:00,headquarters,15016,15000
2012-02-03 20:00:00,headquarters,15020,15000
2012-02-03 20:15:00,headquarters,15022,15000
2012-02-03 20:30:00,headquarters,15014,15000
2012-02-03 20:45:00,headquarters,15017,15000
2012-02-03 21:00:00,headquarters,15016,15000
2012-02-03 21:15:00,headquarters,15015,15000
2012-02-03 21:30:00,headquarters,15010,15000
2012-02-03 21:45:00,headquarters,15019,15000
2012-02-03 22:00:00,headquarters,8950,15000
2012-02-03 22:15:00,headquarters,8957,15000
2012-02-03 22:30:00,headquarters,8954,15000
2012-02-03 22:45:00,headquarters,8946,15000
2012-02-03 23:00:00,headquarters,8945,0
2012-02-03 23:15:00,headquarters,8951,0
2012-02-03 23:30:00,headquarters,8952,0
2012-02-03 23:45:00,headquarters,8953,0
2012-02-04 00:00:00,headquarters,8942,0
2012-02-04 00:15:00,headquarters,8947,0
2012-02-04 00:30:00,headquarters,8949,0
2012-02-04 00:45:00,headquarters,8942,0
2012-02-04 01:00:00,headquarters,8945,0
2012-02-04 01:15:00,headquarters,8942,0
2012-02-04 01:30:00,headquarters,8946,0
2012-02-04 01:45:00,headquarters,8944,0
2012-02-04 02:00:00,headquarters,8944,0
2012-02-04 02:15:00,headquarters,8947,0
2012-02-04 02:30:00,headquarters,8947,0
2012-02-04 02:45:00,headquarters,8948,0
2012-02-04 03:00:00,headquarters,8946,0
2012-02-04 03:15:00,headquarters,8941,0
2012-02-04 03:30:00,headquarters,8944,0
2012-02-04 03:45:00,headquarters,8948,0
2012-02-04 04:00:00,headquarters,8948,0
2012-02-04 04:15:00,headquarters,8948,0
2012-02-04 04:30:00,headquarters,8946,0
2012-02-04 04:45:00,headquarters,8940,0
2012-02-04 05:00:00,headquarters,8940,0
2012-02-04 05:15:00,headquarters,8941,0
2012-02-04 05:30:00,headquarters,8942,0
2012-02-04 05:45:00,headquarters,8945,0
2012-02-04 06:00:00,headquarters,8955,0
2012-02-04 06:15:00,headquarters,8949,0
2012-02-04 06:30:00,headquarters,8947,0
2012-02-04 06:45:00,headquarters,8944,0
2012-02-04 07:00:00,headquarters,8942,0
2012-02-04 07:15:00,headquarters,8945,0
2012-02-04 07:30:00,headquarters,8946,0
2012-02-04 07:45:00,headquarters,8944,0
2012-02-04 08:00:00,headquarters,8942,0
2012-02-02 08:15:00,region-1,6486,0
2012-02-02 08:30:00,region-1,6477,0
2012-02-02 08:45:00,region-1,6470,0
2012-02-02 09:00:00,region-1,6469,0
2012-02-02 09:15:00,region-1,6461,0
2012-02-02 09:30:00,region-1,6459,0
2012-02-02 09:45:00,region-1,6455,0
2012-02-02 10:00:00,region-1,6458,0
2012-02-02 10:15:00,region-1,6460,0
2012-02-02 10:30:00,region-1,6465,0
2012-02-02 10:45:00,region-1,6464,0
2012-02-02 11:00:00,region-1,6468,0
2012-02-02 11:15:00,region-1,6463,0
2012-02-02 11:30:00,region-1,6459,0
2012-02-02 11:45:00,region-1,6457,0
2012-02-02 12:00:00,region-1,6451,0
2012-02-02 12:15:00,region-1,6452,0
2012-02-02 12:30:00,region-1,6460,0
2012-02-02 12:45:00,region-1,6467,0
2012-02-02 13:00:00,region-1,6465,0
2012-02-02 13:15:00,region-1,6457,0
2012-02-02 13:30:00,region-1,6459,0
2012-02-02 13:45:00,region-1,6454,0
2012-02-02 14:00:00,region-1,6457,0
2012-02-02 14:15:00,region-1,6454,0
2012-02-02 14:30:00,region-1,6451,0
2012-02-02 14:45:00,region-1,6458,0
2012-02-02 15:00:00,region-1,8102,0
2012-02-02 15:15:00,region-1,8100,0
2012-02-02 15:30:00,region-1,8098,0
2012-02-02 15:45:00,region-1,8096,0
2012-02-02 16:00:00,region-1,10829,11000
2012-02-02 16:15:00,region-1,10829,11000
2012-02-02 16:30:00,region-1,10823,11000
2012-02-02 16:45:00,region-1,10816,11000
2012-02-02 17:00:00,region-1,10826,11000
