healthtime,businessunit,reported,expected
2012-02-02 08:15:00,region-1,1505,0
2012-02-02 08:30:00,region-1,1503,0
2012-02-02 08:45:00,region-1,1500,0
2012-02-02 09:00:00,region-1,1501,0
2012-02-02 09:15:00,region-1,1500,0
2012-02-02 09:30:00,region-1,1501,0
2012-02-02 09:45:00,region-1,1499,0
2012-02-02 10:00:00,region-1,1498,0
2012-02-02 10:15:00,region-1,1495,0
2012-02-02 10:30:00,region-1,1495,0
2012-02-02 10:45:00,region-1,1498,0
2012-02-02 11:00:00,region-1,1500,0
2012-02-02 11:15:00,region-1,1499,0
2012-02-02 11:30:00,region-1,1500,0
2012-02-02 11:45:00,region-1,1498,0
2012-02-02 12:00:00,region-1,1498,0
2012-02-02 12:15:00,region-1,1497,0
2012-02-02 12:30:00,region-1,1498,0
2012-02-02 12:45:00,region-1,1500,0
2012-02-02 13:00:00,region-1,1499,0
2012-02-02 13:15:00,region-1,1494,0
2012-02-02 13:30:00,region-1,1495,0
2012-02-02 13:45:00,region-1,1493,0
2012-02-02 14:00:00,region-1,1494,0
2012-02-02 14:15:00,region-1,1498,0
2012-02-02 14:30:00,region-1,1495,0
2012-02-02 14:45:00,region-1,1499,0
2012-02-02 15:00:00,region-1,1902,0
2012-02-02 15:15:00,region-1,1901,0
2012-02-02 15:30:00,region-1,1903,0
2012-02-02 15:45:00,region-1,1904,0
2012-02-02 16:00:00,region-1,2540,2549
2012-02-02 16:15:00,region-1,2537,2549
2012-02-02 16:30:00,region-1,2532,2549
2012-02-02 16:45:00,region-1,2527,2549
2012-02-02 17:00:00,region-1,2533,2549
2012-02-02 17:15:00,region-1,2536,2549
2012-02-02 17:30:00,region-1,2535,2549
2012-02-02 17:45:00,region-1,2536,2549
2012-02-02 18:00:00,region-1,2535,2549
2012-02-02 18:15:00,region-1,2534,2549
2012-02-02 18:30:00,region-1,2535,2549
2012-02-02 18:45:00,region-1,2535,2549
2012-02-02 19:00:00,region-1,2537,2549
2012-02-02 19:15:00,region-1,2535,2549
2012-02-02 19:30:00,region-1,2541,2549
2012-02-02 19:45:00,region-1,2542,2549
2012-02-02 20:00:00,region-1,2540,2549
2012-02-02 20:15:00,region-1,2537,2549
2012-02-02 20:30:00,region-1,2539,2549
2012-02-02 20:45:00,region-1,2540,2549
2012-02-02 21:00:00,region-1,2543,2549
2012-02-02 21:15:00,region-1,2542,2549
